,Unnamed: 0,sample_id,num_shot,prompt,response,reflection_gpt,reflection_human,gpt_valid_reflection
11,11,15,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, Like i said above its like hot sweats and feeling very agitated and unable to focus,"Smoking is not always easy, but if you can learn how to control your urges then you will be much more successful in quitting than someone who cannot do so.",You were agitated by not smoking.,0
12,12,16,1,"Let me see if I recall correctly, so you think of Nicotine dependence as something bad about smoking Please describe a time where you had a compelling feeling to smoke and actually smoked", when i was under a lot of stress after a relations death,Stress is an emotion that can be triggered by nicotine withdrawal. ,Smoking helped you relive stress.,0
13,13,17,1,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, when i have been late and havent had the time but its never good if i do this as it makes me feel really bad,You should be more careful with your punctuality. ,You could not smoke due to time constraints.,0
14,14,18,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i wasnt able to concentrate and was very ratty,"Your ability to stop smoking is related to your concentration level, which in turn depends on how much nicotine you are taking in. If you take too little nicotine, you will be unable to control your urge to smoke. On the other hand, if you take too much nicotine, you may become addicted to nicotine and lose all motivation to quit. The best way to determine whether you need more nicotine is to use an electronic cigarette (e-cigarette). Electronic cigarettes deliver nicotine through inhalation of vaporized liquid that contains no tobacco. They also contain flavorings such as fruit flavors, mints, menthol, and chocolate. E-cigarettes can help smokers who cannot quit because they find it difficult to focus while trying to hold their breath for long periods of time. However, e-cigarettes should only be used under medical supervision.",Not smoking made you less focused.,0
15,15,19,1,"From what I gather, it seems that you think Cost is something bad about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", everytime if i am honest i am ashamed i havent been able to stop when i take in the cost,"You are not alone. Many people feel this way. It's hard for them to quit because they don't want to be seen as weak or stupid. They also worry about their health. But there is hope! There are many things we can do to help ourselves stay away from cigarettes. Here are some tips on how to make quitting easier. 1) Quit Smoking Now! If you have tried everything else and still cannot get rid of your habit, then try to quit now. This will give you more motivation to keep trying until you succeed. 2) Get Rid Of Your Cravings Once you've decided to quit, start by getting rid of all those cravings you had before you started smoking. 3) Stop Using Tobacco Products When you're ready to quit, use nicotine replacement therapy (NRT). NRT helps you quit smoking without having to go through withdrawal symptoms like headaches, nausea, stomach aches, etc. 4) Try Nicotine Replacement Therapy Before You Start",You are concerned about the cost of smoking.,0
16,16,20,1,Please describe a time where you thought about the cost of smoking and it prevented you from smoking a cigarette, all the time i dont have a lot of extra money so really have to budget some weeks i have to cut down to get by and its very hard,You are worried about the cost of smoking. ,The cost of smoking is a concern for you.,1
17,17,21,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i felt more in control of external stuff but had a few stressful events that pushed me back down,You are not sure if your past self was successful or unsuccessful at preventing himself/herself from smoking. ,Being in control helped you to not smoke.,1
18,18,22,1,"Let me see if I recall correctly, so you think of Focus as something good about smoking Please describe a time where you wanted to focus on a task and ended up smoking", occasionally i will try and concentrate and it agitates me and makes me want to put a cigarette in my hand,You may have been trying to do too much at once. Try focusing on one thing for a while before taking another step.,Smoking helps you focus.,0
19,19,23,1,Please describe a time where you wanted to focus on a task and didn't end up smoking, Sometimes i can power through the feeling but sometimes it can really stress me out,It's not always easy to stay focused when you're stressed or anxious.,You can sometimes focus without having to smoke.,1
20,20,24,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I felt more of a pressure to complete things in one sit in and made myself push through the craving,It's important that we don't let our emotions get in the way of doing what is right. ,Working on something helps you not smoke.,0
21,21,25,1,"Ok, so you associate Stress as something positive about smoking Please describe a time where you experienced stress and ended up smoking", It helps me centre my thoughts and helps me think things more clearly,Smoking is stressful for many reasons but also because it can cause your heart rate to increase which causes blood vessels to constrict causing chest pain. This can lead to an increased risk of developing lung cancer.,Smoking helps you focus.,0
22,22,26,1,Please describe a time where you experienced stress and didn't end up smoking, when i couldnt smoke like when i was in public i do sometimes get anxious in large crowds but of course it wouldnt be right to smoke in public,You are not alone!,You don't like smoking in public.,1
23,23,27,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I had no release from the tension so ended up buying chewing gum,You have been unable to stop smoking for some reason or another. ,You found an alternative to smoking to help you relax.,0
24,24,28,1,"Okay, so you associate Stigma or shame as something negative about smoking Please express a time where you experienced social stigma but still ended up smoking"," I think its a general for any smoker smoking outside now, i dont think it is looked at as good and you do get looks for smoking even in smoking areas",This was your first experience with social stigma associated with smoking. ,You feel others judge your smoking.,1
25,25,29,1,Please express a time where you experienced social stigma and didn't smoke, when we went out with friends that didnt smoke and they hate the smell for them we held off till later,You felt people judged you because of your smoking. ,You did not smoke because of your friends.,1
26,26,30,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i tried to keep myself distracted by doing things other than routine,Your attempts at distraction failed miserably. ,Doing something outside your routine helped you to not smoke.,0
27,27,31,1,"Let me see if I recall correctly, so you think of Physical appearance as something bad about smoking Please describe a time where you thought about the effect of smoking on your appearance but ended up smoking", i worry about my skin aging faster due to smoking,Smoking is one of the most common causes for premature wrinkling and loss of facial features. It also increases risk of developing cancer.,Skin aging is a concern of smoking for you.,0
28,28,32,1,Please describe a time where you thought about the effect of smoking on your appearance and didn't end up smoking, i didnt stop if i'm honest i just hydrated my skin more and used more exfoliating products,You are using an exfoliator right now! ,You addressed the side effects of smoking in other ways.,1
29,29,33,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, nothing really comes to mind sorry,"I think that's an excellent response!  I've been thinking about this question for some time now, but haven't had much luck coming up with any answers.  It seems like there are so many things we don't know about how our bodies react to nicotine.  What is the best way to approach this topic?",You don't remember what helped you not smoke.,0
30,30,34,1,"Let me see if I recall correctly, so you think of Poor role model as something bad about smoking Please describe a situation where you thought about wanting to be a good role model but ended up smoking", i am a mother i never smoke in front of my daughter i go outside and never smoke in front of her,Your daughter is your best friend. She will probably tell you that she doesn't want to have anything to do with you anymore because you are a smoker. ,You're worried about how others will learn from your smoking.,0
31,31,35,1,Please describe a situation where you thought about being a good role model and that cause you not to smoke, i have really tried to stop i have focused on telling my daughter where i am wrong and why she should stay well away from smoking,Your concern is for the children who are watching you smoke. ,You do not want your kids to start smoking.,1
32,32,36,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, just distaction really and not staying too still,"It is important to be aware of what causes you to become addicted to cigarettes, so that you can avoid them.",Keeping yourself distracted helped you to not smoke.,1
33,33,37,1,"Ok, so you associate Routine as something positive about smoking Please describe a time where you smoked routinely without thinking about it", i read a awful lot and have got into the habbit of reading my book outside with a cup of tea.  This i think is the worst thing as i associate it as the habit of doing all together,You are associating your routine with being good. ,Smoking is part of a routine for you.,0
34,34,38,1,Please describe a time where you missed your routinely smoke, just when i have been late or rushed,You are missing out on an important aspect of life. ,Being busy helped you to not smoke.,1
35,35,39,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, wasnt really able to without completely changing my routine,"You are now more likely to be successful in preventing yourself from smoking, but you will still need some help with this.",You changed your routine to help you stop smoking.,1
36,36,40,1,"From what I gather, it seems that you think Smell is something bad about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", i dont like that it does linger on clothes and breath and it can be easily detected by no smokers,It's not easy for people who don't smoke to detect the scent of tobacco in their clothing or breathe it into their lungs. ,You don't like the smell smoking leaves.,0
37,37,41,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?," The feeling that i was doing completely wrong, at work or in a social setting",Your boss/teachers are forcing you to do things against your will. ,You don't like how others perceive your smoking.,0
38,38,42,1,Great! Okay. Let's now chat about the bad things about smoking What is it about smoking that makes it bad?," The smell, The health risks, The price. The feeling of smoking makes you outcast in some places.","I'm not sure what this means but let me try and explain it for you. Smoking has been around since before recorded history. It started as an alternative way to get high. People used tobacco because they didn't have access to other drugs such as alcohol or marijuana. They also smoked because it gave them a sense of control over their lives. Nowadays we know that smoking causes cancer, heart disease, emphysema, lung diseases, strokes, respiratory infections, and many more problems. We are all aware of these dangers so why do people continue to smoke? Why does anyone want to be associated with something that can kill them? If you're still interested in learning more about smoking then check out my book ""Smoking Kills"" which will help you understand the negative effects of smoking.","The cost, health risks, price, and perception are bad things about smoking.",0
39,39,43,1,"Let me see if I recall correctly, so you think of Cost as something bad about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", When I smoked more then usual and ran out of cigarettes. I thought about buying more and thought about the cost,You were thinking about the cost of smoking when you started smoking. ,The price of smoking made you stop.,1
40,40,44,1,Please describe a time where you thought about the cost of smoking and it prevented you from smoking a cigarette, No money. Day before payday It was either lunch or ciarettesr,You were not able to quit because your mind kept thinking about the cost of smoking.,The cost of smoking stopped you from buying cigarettes.,0
41,41,45,1,"From what I gather, it seems that you think Health is something bad about smoking Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking", When a friend was diagnosed with COPD. Thought about my own health,My friends were concerned for me because they knew how much I smoked. They told me not to smoke anymore.,Your friend's health made you think about your own smoking.,0
42,42,46,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was not able to breathe right,"You are describing an experience similar to one described by smokers who have difficulty breathing while they inhale. This may be due to nicotine poisoning or other respiratory problems caused by cigarette smoke. If so, this would indicate that you should stop smoking immediately if you suspect you might suffer from such symptoms.",You were concerned for your health.,0
43,43,47,1,"From what I gather, it seems that you think Smell is something bad about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", In a crowded elevator. Just finished smoking a cigarette,It's hard to imagine how much worse this could have been!,You were worried about how others perceived the smell of smoking.,0
44,44,48,1,"Let me see if I recall correctly, so you think of Stigma or shame as something bad about smoking Please express a time where you experienced social stigma but still ended up smoking", Out with friends. The only smoker. Had to go outside in the cold to smoke,Your experience was one of being out and about without any fear of judgment from other people. ,You had to smoke alone.,0
45,45,49,1,What is it about smoking that makes it good?, It makes me feel less anxious and relaxed sometimes,Smoking helps relax people who are stressed out.,Smoking relaxes you.,1
46,46,50,1,"Thank you for confirming my understanding I see, you may smoke because you feel stressed Do you have more positive things about smoking? Tell me if you can think of any", It also lets me feel less awkward in some situations,"You are right, smoking helps with social anxiety. ",Smoking helps you be less awkward.,1
47,47,51,1,"I appreciate you confirming my understanding I see, you feel compelled to smoke What else do you find positive about smoking?", I feel that it sometimes breaks the ice for a conversation with another smoker,"You are right, smoking is often used as an excuse to talk to someone who would otherwise not want to speak to them. ",Smoking helps you be social with other smokers.,1
48,48,52,1,"Sorry, I didn't understand what you said. Can you write it in a different way Don't worry, I'll give you options if I can't get what you're saying", It helps to start a conversation,"I'm sorry, but I don't think we have time for this right now. Please call me back when you are ready to talk again. Thank you!",Smoking is a social activity for you.,0
49,49,53,1,"I appreciate you confirming my understanding I see, you don't like the smell of cigarettes Do you have more negative things about smoking? Tell me if you can think of any", it is harming others by second hand smoke,You are right that there's no point in trying to convince someone who doesn't want to change their mind. But maybe we could try again later when you've had some time to reflect on your thoughts.,You're worried about how smoking affects others around you.,0
50,50,54,1,Please continue, I get cranky when I can not smoke,That's a good sign! ,Smoking affects your mood.,0
51,51,55,1,Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette?, today I am broke and still had to buy them. I borrowed money,You are in debt because you have been using tobacco products. ,You're worried about how smoking affects you financially.,1
52,52,56,1,Please describe a time where you thought about the cost of smoking and it prevented it you from smoking a cigarette, I had to eat instead with my money so I went with out,You are concerned about your financial situation. ,The cost of smoking prevented you from smoking.,1
53,53,57,1,Please describe a time where you were worried about the smell of cigarettes but ended up smoking, at a friends house my clothes were all stinky they said I was embarrassed,"You were concerned that your clothing would be smelly, but smoked anyway.",The smell of smoking concerns you.,1
54,54,58,1,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, the next time I went there to visit I refrained ,You are concerned that your clothing will be smelly if you don't smoke. ,The smell stopped you from smoking.,0
55,55,59,1,Please desccribe a situation where you thought about wanting to be a good role model but ended up smoking, When my kids were younger I should have quyit but did not,You could have been a great role model if you had quit when your children were young.,You were worried about being a good role model.,1
56,56,60,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was able to do the right thing and not feel guilty,It is important that we are able to make decisions without feeling guilt or shame.,Stopping smoking made you feel good.,1
57,57,61,1,"I get it, you think Socializing is both good and bad Please describe a time where you were with other smokers and ended up smoking", When ever I am with other smokers it makes it feel ok to smoke,It's hard for me to imagine that someone would be so stupid as to try to start smoking in front of others,You like to smoke socially.,0
58,58,62,1,Please describe a time where you were with other smokers and you didn't smoked, I smelt the way my buddies smelt and I felt good not to be stinky,Your friends smell nice. ,You don't like the smell of smoke.,0
59,59,63,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was not so socialable with the smokers as much,You are more socially active than your friends. ,Not smoking made you less social with other smokers.,0
60,60,64,1,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, I had a hard time running but still continued to smoke anyhow and missed my bus,"You smoked because you felt like you could don'thing about it, or that there would be no consequence if you quit.",You saw how your health was affected by smoking.,0
61,61,65,1,Please describe a time where you contemplated the consequences of smoking on your health and then did not smoke that time, I went hiking and wanted to be able to climb the mountain with my kids and so I did not smoke,"Your decision to stop smoking helped you feel better about yourself, which in turn made it easier for you to continue to do things like hike or run. ",You were worried about how smoking affected your health.,1
62,62,66,1,"I get it, you think Nicotine dependence is both good and bad Please describe a time where you had a compelling feeling to smoke and actually smoked", All the time everyday all day ,You felt like you needed nicotine in order to function normally. ,You are always craving a smoke.,1
63,63,67,1,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, I was compelled to have a cigarrette before an interview but refrained,Your desire for a cigarette or cigar is strong enough to overcome your fears about being judged negatively. ,You wanted to smoke when you were stressed but refrained.,0
64,64,68,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I just thought of all the bad things that smoking does and it was enough for me to not smoke,"You tried to stop smoking, but couldn't. Why wasn't this more effective than other methods?",Thinking about the bad effects of smoking helped you stop.,0
65,65,69,1,Please describe a time where you experienced stress and ended up smoking, whenever I am stressed and pacing the floors I need a cigarrette and can not control my will power,"Smoking helps you relax, which is important in stressful situations.",Being stressed increases your urge to smoke.,1
66,66,70,1,Please describe a time where you experienced stress and didn’t end up smoking, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy,"Stress is an emotion that causes us to act out our emotions. When we are under stress, we tend to do things that make us feel better. We may eat junk food or drink alcohol because they help relieve some of the tension. But when we don't have enough energy to deal with the situation at hand, we turn to drugs and other substances for relief.",Thinking about your family stopped you from smoking.,0
67,67,71,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was proud and not disappointed in myself. ,You weren't ashamed of being successful at something you love. ,You felt good that you were able to stop yourself from smoking.,1
68,68,72,1,"Thank you for confirming my understanding Let me see if I understand, you don't like that smoking makes you smell badly I appreciate you making things simple for me, but please use more words in your sentences Can you think of more things that you dislike about smoking? If so, please tell me", I dislike the fact my children worry about me smoking,Your kids are worried because they know how bad it smells. They also know that their father smokes. ,You don't like how your smoking affects your family.,1
69,69,73,1,"I appreciate you confirming my knowledge Let me see if I get it, you think that cigarettes are expensive I would like to know more about your reasoning, is it possible to use more words in your sentences Do you have more negative things about smoking? Tell me if you can think of any", The cost of smoking is making life difficult financially,Your argument seems weak. ,The cost of smoking is a concern to you.,0
70,70,74,1,"Okay, so you associate Cost as something negative about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", I was behind in paying a bill but spent the money on cigarettes anyway,You were not able to pay for the bill and decided to spend the money on cigarettes instead. ,The cost of smoking is affecting other areas of your life.,1
71,71,75,1,"Let me see if I recall correctly, so you think of Poor role model as something bad about smoking Please describe a situation where you thought about wanting to be a good role model but ended up smoking", My children moaned at me as they thought I would get ill from smoking but I smoked anyway,You are not being honest with yourself and others when you say that you want to be a good role model for your kids. ,You don't like how your children viewed your smoking.,0
72,72,76,1,Please describe a situation where you thought about being a good role model and that cause you not to smoke, After my daughter complained about her clothes smelling of smoke,Your child is correct. ,Your daughter's opinion made you stop smoking.,0
73,73,77,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I realised it was affecting my dughter,You have been able to avoid smoking for many years now. ,You're worried how smoking affects your daughter.,0
74,74,78,1,"Let me see if I recall correctly, so you think of Smell as something bad about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", I worry when working in a school that the teachers and pupils think I smell of smoke,Your worries are not unfounded. ,You're worried how the smell of smoke affects those around you.,0
75,75,79,1,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my daughter complained of her clothes smelling,Your concern is for your child's health. ,You're worried how your daughter is affected by the smell of smoke.,1
76,76,80,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, Because of the effect it was having on my daughter,Your ability to control your own behavior has been enhanced because of the effects that smoking had on your child. ,You're worried about how smoking affected your daughter.,1
77,77,81,1,"Okay, so you associate Health as something negative about smoking Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking", When I had a pain in my chest,Your thoughts are focused on the physical symptoms associated with smoking. ,You're worried about how smoking affects your health.,1
78,78,82,1,Please describe a time where you experienced stress and didn't end up smoking," When I am working, my job is quite stressful at times",Your work environment can be very stressful. ,You didn't smoke at work even when you were stressed.,1
79,79,83,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was at work so unable to smoke,It's not that easy to avoid smoking in your workplace. ,Being at work helped you to not smoke.,0
80,80,84,1,What is it about smoking that makes it good?, It relaxes me and gives me a sense of pleasure. ,"Smoking helps you feel relaxed, which in turn allows you to enjoy your life more.",Smoking gives you pleasure and relaxes you.,1
81,81,85,1,Thank you for clearing that up Do you have more positive things about smoking? Tell me if you can think of any, It  something to look forward to doing.,I'm glad we cleared this one up!,Smoking is something you look forward to do.,1
82,82,86,1,Thank you for clearing that up What else do you find positive about smoking?, It helps me focus and concentrate.,"I see, it does help me concentrate and concentrate.",Smoking helps you focus.,0
83,83,87,1,"I'm sorry, I don't understand; I am in the process of learning the different kinds of answers. Can you write in a different way Don't worry, I'll give you options if I can't get what you're saying", It relaxes my mind and body.,Relaxing your mind and body is good. ,Smoking helps you relax.,1
84,84,88,1,Thank you for confirming my understanding I understand: smoking relieves you of stress Do you have more positive things about smoking? Tell me if you can think of any, Smoking gives me a pleasurable and happy feeling. ,Smoking is good for your health. ,Smoking gives you pleasure.,0
85,85,89,1,"I see, you get pleasure from smoking What else do you find positive about smoking?", I can concentrate more if I am smoking,You are able to focus better when you smoke. ,Smoking helps you concentrate.,1
86,86,90,1,"I appreciate you confirming my knowledge I see, you feel compelled to smoke Do you have more positive things about smoking? Tell me if you can think of any", I like to smoke while I drink alcohol because it feel great,I enjoy smoking with friends or in a group because we all share the same experience,Smoking feels good for you.,1
87,87,91,1,"Thank you for confirming my understanding OK, so smoking is pleasant and relaxing for you What else do you find positive about smoking?", I like to smoke if I am borred.,You are relaxed when you smoke. ,Smoking helps you to not be bored.,1
88,88,92,1,"I appreciate you confirming my understanding OK, so smoking is pleasant and relaxing for you Are there other things that are good about smoking? If so, please tell me", It  gives me a nice sensation.,Smoking makes it easier to concentrate on work or school.,Smoking makes you feel good.,0
89,89,93,1,"Sorry, I don't get what you're saying. Can you give more details I'm trying to learn what you say, I'll give you options if I can't figure it out", It  gives me a rush and makes me feel slightly high.,You have been smoking too much. Please stop now.,Smoking makes you feel good.,0
90,90,94,1,"Sorry, I didn't understand what you said. Can you write it in a different way I'm trying to learn what you say, I'll give you options if I can't figure it out", I like to socialise with other people who smoke.,You are not alone!,Smoking helps you socialize.,1
91,91,95,1,"I appreciate you confirming my understanding OK, let me summarize what you said. You said ""I can concentrate more if I am smoking"", which I think is related to Nicotine dependence You also said ""I enjoy the kick"", ""Smoking gives me a pleasurable and happy feeling. "", ""I like to smoke while I drink alcohol because it feel great"", and ""I like to smoke if I am borred."", which I believe is essentially Feeling good You also said ""It  something to look forward to doing."", which I believe is essentially Routine You also said ""I like to socialise with other people who smoke."", which I believe is essentially Socializing You also said ""It relaxes me and gives me a sense of pleasure. "", ""It relaxes my mind and body."", and ""It  gives me a rush and makes me feel slightly high."", which I think is related to Stress OK. Let's now talk about the bad things about smoking What is it about smoking that makes it bad?", Im aware its very bad for your health.,What is it about smoking that makes it bad?,You're aware of how smoking affects your health.,1
92,92,96,1,"I appreciate you confirming my understanding I see, you are concerned about your health Do you have more negative things about smoking? Tell me if you can think of any", It can give you all sorts of diseases such as lung cancer.,Smoking causes many different types of disease including Cancer.,You're worried about the health effects of smoking.,1
93,93,97,1,"I appreciate you confirming my understanding I see, you are concerned about your health Do you have more negative things about smoking? Tell me if you can think of any", It makes your clothes and hair smell.,Your clothing smells bad.,You don't like how smoking makes you smell.,1
94,94,98,1,"Thank you for confirming my understanding OK, so you smoke when people around you are smoking Do you have more negative things about smoking? Tell me if you can think of any", It can make you a social outcast.,Your friends won't want to be with you because they will know that you smoke.,You're worried about how smoking affects you socially.,1
95,95,99,1,"Thank you for confirming my understanding I see, you think that cigarettes are expensive Are there other things that are bad about smoking? If so, please tell me", It gives off a bad example to my children,Your kids will not like the way they look or act after smoking. They'll also get sick from all the chemicals in their bodies.,You're worried about being a good role model to your children.,0
96,96,100,1,"I see, you want to be a good role model for the people close to you What else do you find negative about smoking?", Nicotine stains on furniture and walls are not nice,That's why we have anti-smoking campaigns in schools.,You're worried about how smoking affects your surroundings.,0
97,97,101,1,So you think Nicotine dependence is good and bad at the same time Please describe a time where you had a compelling feeling to smoke and actually smoked, When I wake up in the morning.,That's pretty cool! How often do you have urges to smoke?,You smoke at the start of your day.,0
98,98,102,1,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, When I had got off an airplane after a long journey.,"You don't have any desire to smoke, so it's not really that important for you to do it.",You wanted to smoke after a long journey.,0
99,99,103,1,Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette?, Every time I buy a pack of ciggs I think about the cost the craving  makes me continue to smoke.,You were thinking about the price of cigarettes when buying them. ,You're worried about the cost of smoking.,1
100,100,104,1,Please describe a time where you thought about the cost of smoking and it prevented it you from smoking a cigarette, When I was saving up to go abroad it was a real intensive not to smoke. ,You were thinking about how much money you would have saved if you had quit smoking.,Having a goal helped you to smoke less.,1
101,101,105,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I had more will power and also I was using nicotine replacement therapy as in chewing gum,You are now able to stop smoking without any help or support. ,Your willpower and the nicotine replacement helped you to not smoke.,0
102,102,106,1,Please describe a time where you smoked because you needed to feel good, I lost internet connection this evening for ten minutes so I smoked to cheer myself up.,"You used your willpower to stop smoking, which is an important skill that can help others quit too.",Smoking made you feel good.,0
103,103,107,1,Please describe a time where you wanted to feel good and didn't get that through smoking, Most of the time to be honest!,"You felt bad about not getting what you want, but it was okay because you got something else from it.",Smoking doesn't always make you feel good.,1
104,104,108,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, Will power and nicotine  replacement chewing gum.,"I was very lucky in my early 20's, because I had no idea what I was getting into with cigarettes.   It took me years before I realized how addictive they really are.  When I finally quit, I felt like I'd been given an opportunity to live life on my own terms.",Having a replacement and willpower helped you to not smoke.,0
105,105,109,1,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, When my  ex colleague  was diagnosed with  stage three lung cancer.,This is an example of how we can use our thoughts as tools to change our behavior. We are more likely to make changes in response to negative thinking than positive ones.,You were worried about the health effects of smoking.,0
106,106,110,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was feelimg good about myself and I had more determination.,"Your motivation for quitting was based on self-esteem, not fear or guilt.",Feeling good and having determination helped you to not smoke.,1
107,107,111,1,Please desccribe a situation where you thought about wanting to be a good role model but ended up smoking, Nearly everyday when I'm around my children,You felt like your life would change forever because of this decision. It's hard to imagine that someone who has been so successful could ever give up on his/her dreams. ,Being a good role model makes you want to not smoke.,0
108,108,112,1,Please desccribe a situation where you thought about being a good role model and that cause you not to smoke, At a childrens birthday party I was detemined not to be seen as a smoker,Being a good role model made me think twice before lighting up.,You don't like being seen as a smoker.,1
109,109,113,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I felt like I didnt need to smoke brcause the nicotine gum was working,"The nicotine gum worked well because you didn't want to quit, but you still wanted to stop. ",The nicotine gum helped you not smoke.,1
