,sample_id,num_shot,prompt,response,reflection_gpt,reflection_human,gpt_valid_reflection
75,79,1,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my daughter complained of her clothes smelling,Your concern is for your child's health. ,You're worried how your daughter is affected by the smell of smoke.,1.0
78,82,1,Please describe a time where you experienced stress and didn't end up smoking," When I am working, my job is quite stressful at times",Your work environment can be very stressful. ,You didn't smoke at work even when you were stressed.,1.0
83,87,1,"I'm sorry, I don't understand; I am in the process of learning the different kinds of answers. Can you write in a different way Don't worry, I'll give you options if I can't get what you're saying", It relaxes my mind and body.,Relaxing your mind and body is good. ,Smoking helps you relax.,0.0
85,89,1,"I see, you get pleasure from smoking What else do you find positive about smoking?", I can concentrate more if I am smoking,You are able to focus better when you smoke. ,Smoking helps you concentrate.,1.0
98,102,1,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, When I had got off an airplane after a long journey.,"You don't have any desire to smoke, so it's not really that important for you to do it.",You wanted to smoke after a long journey.,1.0
108,112,1,Please desccribe a situation where you thought about being a good role model and that cause you not to smoke, At a childrens birthday party I was detemined not to be seen as a smoker,Being a good role model made me think twice before lighting up.,You don't like being seen as a smoker.,1.0
110,114,1,Please describe a time where you smoked routinely without thinking about it, When I've got a lot on my mind I feel as if it gives me the go ahead to smoke. I don't even know how many I smoke during these periods.,"You are always in control of your actions and thoughts, so why do you think that you can't stop smoking?",Smoking helps you think.,1.0
132,13,2,"From what I gather, it seems that you think Having something in my Hand is something good about smoking Please describe a time where you smoked because you enjoy the feeling of holding a cigarette", I get so much in the habit that i do find my hands getting very twitchy and it starts me feeling like i need another,You are still addicted to cigarettes despite having tried other methods. ,Smoking is a habit for you.,0.0
137,18,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i wasnt able to concentrate and was very ratty,This is an example of how your mind can influence your actions. ,Not smoking made you less focused.,1.0
144,25,2,"Ok, so you associate Stress as something positive about smoking Please describe a time where you experienced stress and ended up smoking", It helps me centre my thoughts and helps me think things more clearly,Smoking is stressful for many people. ,Smoking helps you focus.,0.0
150,31,2,"Let me see if I recall correctly, so you think of Physical appearance as something bad about smoking Please describe a time where you thought about the effect of smoking on your appearance but ended up smoking", i worry about my skin aging faster due to smoking,Smoking is one of the most common causes of premature wrinkling in our society. ,Skin aging is a concern of smoking for you.,1.0
152,33,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, nothing really comes to mind sorry,Nothing came to mind that would make this difference. ,You don't remember what helped you not smoke.,0.0
154,35,2,Please describe a situation where you thought about being a good role model and that cause you not to smoke, i have really tried to stop i have focused on telling my daughter where i am wrong and why she should stay well away from smoking,You want to tell people that they are wrong for thinking that smoking is harmful. ,You do not want your kids to start smoking.,0.0
155,36,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, just distaction really and not staying too still,You are trying hard to keep yourself from smoking. ,Keeping yourself distracted helped you to not smoke.,1.0
160,41,2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?," The feeling that i was doing completely wrong, at work or in a social setting",You are not doing anything wrong. ,You don't like how others perceive your smoking.,0.0
161,42,2,Great! Okay. Let's now chat about the bad things about smoking What is it about smoking that makes it bad?," The smell, The health risks, The price. The feeling of smoking makes you outcast in some places.",Smoking causes lung cancer. ,"The cost, health risks, price, and perception are bad things about smoking.",0.0
167,48,2,"Let me see if I recall correctly, so you think of Stigma or shame as something bad about smoking Please express a time where you experienced social stigma but still ended up smoking", Out with friends. The only smoker. Had to go outside in the cold to smoke,Your fear of being judged by others led you to continue smoking despite knowing that it would harm your health. ,You had to smoke alone.,0.0
181,62,2,Please describe a time where you were with other smokers and you didn't smoked, I smelt the way my buddies smelt and I felt good not to be stinky,Smelling your friends' breath is fun! ,You don't like the smell of smoke.,0.0
183,64,2,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, I had a hard time running but still continued to smoke anyhow and missed my bus,"Smoking is bad for your health, even if you do run. ",You saw how your health was affected by smoking.,0.0
189,70,2,Please describe a time where you experienced stress and didn’t end up smoking, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy,"Stress is an addictive behavior, so if you experience stress while trying to quit smoking, then chances are you'll continue to do it even after quitting. ",Thinking about your family stopped you from smoking.,0.0
198,79,2,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my daughter complained of her clothes smelling,You're concerned with what others might say about your daughter's appearance or behaviour. ,You're worried how your daughter is affected by the smell of smoke.,1.0
201,82,2,Please describe a time where you experienced stress and didn't end up smoking," When I am working, my job is quite stressful at times",You're concerned that smoking will affect your work performance. ,You didn't smoke at work even when you were stressed.,1.0
206,87,2,"I'm sorry, I don't understand; I am in the process of learning the different kinds of answers. Can you write in a different way Don't worry, I'll give you options if I can't get what you're saying", It relaxes my mind and body.,Relaxing your mind and body.,Smoking helps you relax.,1.0
208,89,2,"I see, you get pleasure from smoking What else do you find positive about smoking?", I can concentrate more if I am smoking,You are able to focus better when you smoke. ,Smoking helps you concentrate.,1.0
221,102,2,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, When I had got off an airplane after a long journey.,You don't have any desire to smoke when you get home from work. ,You wanted to smoke after a long journey.,0.0
231,112,2,Please desccribe a situation where you thought about being a good role model and that cause you not to smoke, At a childrens birthday party I was detemined not to be seen as a smoker,You are a great role model for your kids! ,You don't like being seen as a smoker.,1.0
233,114,2,Please describe a time where you smoked routinely without thinking about it, When I've got a lot on my mind I feel as if it gives me the go ahead to smoke. I don't even know how many I smoke during these periods.,"Smoking is something you do regularly, so you are aware of its effects. ",Smoking helps you think.,0.0
255,13,3,"From what I gather, it seems that you think Having something in my Hand is something good about smoking Please describe a time where you smoked because you enjoy the feeling of holding a cigarette", I get so much in the habit that i do find my hands getting very twitchy and it starts me feeling like i need another,Your hands are becoming more twitchy than usual. ,Smoking is a habit for you.,0.0
260,18,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i wasnt able to concentrate and was very ratty,You were stressed out because you couldn't get your nicotine fix. ,Not smoking made you less focused.,1.0
267,25,3,"Ok, so you associate Stress as something positive about smoking Please describe a time where you experienced stress and ended up smoking", It helps me centre my thoughts and helps me think things more clearly,"When stressed, your mind is less likely to be focused on what's going on around you. ",Smoking helps you focus.,1.0
273,31,3,"Let me see if I recall correctly, so you think of Physical appearance as something bad about smoking Please describe a time where you thought about the effect of smoking on your appearance but ended up smoking", i worry about my skin aging faster due to smoking,Your concern over your physical appearance was probably caused by your fear of getting cancer. ,Skin aging is a concern of smoking for you.,0.0
275,33,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, nothing really comes to mind sorry,Nothing came to mind that would make this situation any better or worse. ,You don't remember what helped you not smoke.,1.0
277,35,3,Please describe a situation where you thought about being a good role model and that cause you not to smoke, i have really tried to stop i have focused on telling my daughter where i am wrong and why she should stay well away from smoking,You've been trying hard to quit for years. ,You do not want your kids to start smoking.,1.0
278,36,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, just distaction really and not staying too still,You are trying hard to keep your children safe. ,Keeping yourself distracted helped you to not smoke.,0.0
283,41,3,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?," The feeling that i was doing completely wrong, at work or in a social setting",You are doing everything right. ,You don't like how others perceive your smoking.,0.0
284,42,3,Great! Okay. Let's now chat about the bad things about smoking What is it about smoking that makes it bad?," The smell, The health risks, The price. The feeling of smoking makes you outcast in some places.",Smoking causes many problems for those who are affected by it. ,"The cost, health risks, price, and perception are bad things about smoking.",1.0
290,48,3,"Let me see if I recall correctly, so you think of Stigma or shame as something bad about smoking Please express a time where you experienced social stigma but still ended up smoking", Out with friends. The only smoker. Had to go outside in the cold to smoke,You felt uncomfortable being around smokers. ,You had to smoke alone.,0.0
304,62,3,Please describe a time where you were with other smokers and you didn't smoked, I smelt the way my buddies smelt and I felt good not to be stinky,Smelling your friends' breath makes you want to smoke. ,You don't like the smell of smoke.,0.0
306,64,3,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, I had a hard time running but still continued to smoke anyhow and missed my bus,Smoking made you more likely to miss your bus or run late for work. ,You saw how your health was affected by smoking.,1.0
312,70,3,Please describe a time where you experienced stress and didn’t end up smoking, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy,Stress is what causes people to want to smoke. ,Thinking about your family stopped you from smoking.,1.0
321,79,3,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my daughter complained of her clothes smelling,You've stopped worrying about the smell of cigarette smoke. ,You're worried how your daughter is affected by the smell of smoke.,0.0
324,82,3,Please describe a time where you experienced stress and didn't end up smoking," When I am working, my job is quite stressful at times",You're worrying that smoking will affect your work life. ,You didn't smoke at work even when you were stressed.,1.0
329,87,3,"I'm sorry, I don't understand; I am in the process of learning the different kinds of answers. Can you write in a different way Don't worry, I'll give you options if I can't get what you're saying", It relaxes my mind and body.,Relaxing your mind and body. ,Smoking helps you relax.,1.0
331,89,3,"I see, you get pleasure from smoking What else do you find positive about smoking?", I can concentrate more if I am smoking,You are able to concentrate better when you smoke. ,Smoking helps you concentrate.,1.0
344,102,3,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, When I had got off an airplane after a long journey.,You don't have any desire to quit smoking. ,You wanted to smoke after a long journey.,0.0
354,112,3,Please desccribe a situation where you thought about being a good role model and that cause you not to smoke, At a childrens birthday party I was detemined not to be seen as a smoker,The people who are most likely to see you as a role model will also be those least likely to smoke. ,You don't like being seen as a smoker.,0.0
356,114,3,Please describe a time where you smoked routinely without thinking about it, When I've got a lot on my mind I feel as if it gives me the go ahead to smoke. I don't even know how many I smoke during these periods.,"Smoking is something you do because of your thoughts, not because of what's in front of you. ",Smoking helps you think.,1.0
4,14,4,Please describe a time where you experienced stress and didn't end up smoking," When I am working, my job is quite stressful at times",Stressful situations make you want to quit smoking. ,You didn't smoke at work even when you were stressed.,1.0
5,15,4,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, I had a hard time running but still continued to smoke anyhow and missed my bus,Your decision was based on the fact that you felt you couldn't run anymore. ,You saw how your health was affected by smoking.,0.0
6,16,4,"Let me see if I recall correctly, so you think of Stigma or shame as something bad about smoking Please express a time where you experienced social stigma but still ended up smoking", Out with friends. The only smoker. Had to go outside in the cold to smoke,Your friends did not look down upon you because you smoked. ,You had to smoke alone.,1.0
12,22,4,"Let me see if I recall correctly, so you think of Physical appearance as something bad about smoking Please describe a time where you thought about the effect of smoking on your appearance but ended up smoking", i worry about my skin aging faster due to smoking,Your physical appearance affects how others perceive you. ,Skin aging is a concern of smoking for you.,1.0
23,33,4,"I see, you get pleasure from smoking What else do you find positive about smoking?", I can concentrate more if I am smoking,It's easier for me to focus on my job because I don't need to think too much,Smoking helps you concentrate.,0.0
25,35,4,Please describe a time where you smoked routinely without thinking about it, When I've got a lot on my mind I feel as if it gives me the go ahead to smoke. I don't even know how many I smoke during these periods.,You are not alone when you want to relax or enjoy yourself while smoking. ,Smoking helps you think.,1.0
40,50,4,"Ok, so you associate Stress as something positive about smoking Please describe a time where you experienced stress and ended up smoking", It helps me centre my thoughts and helps me think things more clearly,Your stress relieving effects are due to nicotine. ,Smoking helps you focus.,1.0
42,52,4,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my daughter complained of her clothes smelling,Your worry is that people will notice your smoking. ,You're worried how your daughter is affected by the smell of smoke.,1.0
52,62,4,Great! Okay. Let's now chat about the bad things about smoking What is it about smoking that makes it bad?," The smell, The health risks, The price. The feeling of smoking makes you outcast in some places.",Smoking is associated with social exclusion. ,"The cost, health risks, price, and perception are bad things about smoking.",1.0
83,93,4,Please describe a time where you were with other smokers and you didn't smoked, I smelt the way my buddies smelt and I felt good not to be stinky,Smelling others' breath makes you smell better. ,You don't like the smell of smoke.,0.0
85,95,4,"From what I gather, it seems that you think Having something in my Hand is something good about smoking Please describe a time where you smoked because you enjoy the feeling of holding a cigarette", I get so much in the habit that i do find my hands getting very twitchy and it starts me feeling like i need another,Smoking makes you feel better than having nothing in your hand. ,Smoking is a habit for you.,1.0
97,107,4,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?," The feeling that i was doing completely wrong, at work or in a social setting",and then i would just stop and go home and do nothing,You don't like how others perceive your smoking.,0.0
98,108,4,"I'm sorry, I don't understand; I am in the process of learning the different kinds of answers. Can you write in a different way Don't worry, I'll give you options if I can't get what you're saying", It relaxes my mind and body.,Relaxing your mind is important for relaxation.,Smoking helps you relax.,1.0
99,109,4,Please desccribe a situation where you thought about being a good role model and that cause you not to smoke, At a childrens birthday party I was detemined not to be seen as a smoker,You think people will judge you for smoking. ,You don't like being seen as a smoker.,1.0
100,110,4,Please describe a time where you experienced stress and didn’t end up smoking, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy,Stress is bad for you. ,Thinking about your family stopped you from smoking.,1.0
103,113,4,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i wasnt able to concentrate and was very ratty,Your ability to focus is what makes you successful at preventing yourself from smoking. ,Not smoking made you less focused.,1.0
109,119,4,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, nothing really comes to mind sorry,Nothing really came to mind. ,You don't remember what helped you not smoke.,1.0
112,122,4,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, just distaction really and not staying too still,Distraction helps you stay focused on something other than smoking. ,Keeping yourself distracted helped you to not smoke.,1.0
114,124,4,Please describe a situation where you thought about being a good role model and that cause you not to smoke, i have really tried to stop i have focused on telling my daughter where i am wrong and why she should stay well away from smoking,You told her how much better life was without smoking. ,You do not want your kids to start smoking.,1.0
116,126,4,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, When I had got off an airplane after a long journey.,This was a very important moment in your life. ,You wanted to smoke after a long journey.,1.0
121,14,5,Please describe a time where you experienced stress and didn't end up smoking," When I am working, my job is quite stressful at times",Stressful situations make you want to quit smoking. ,You didn't smoke at work even when you were stressed.,1.0
122,15,5,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, I had a hard time running but still continued to smoke anyhow and missed my bus,Your decision to continue smoking despite having health concerns led to an unhealthy lifestyle. ,You saw how your health was affected by smoking.,1.0
123,16,5,"Let me see if I recall correctly, so you think of Stigma or shame as something bad about smoking Please express a time where you experienced social stigma but still ended up smoking", Out with friends. The only smoker. Had to go outside in the cold to smoke,Your friends did not look down upon you for smoking. ,You had to smoke alone.,1.0
129,22,5,"Let me see if I recall correctly, so you think of Physical appearance as something bad about smoking Please describe a time where you thought about the effect of smoking on your appearance but ended up smoking", i worry about my skin aging faster due to smoking,Your physical appearance affects how others perceive you. ,Skin aging is a concern of smoking for you.,1.0
140,33,5,"I see, you get pleasure from smoking What else do you find positive about smoking?", I can concentrate more if I am smoking,It's easier for you to focus on things while you are smoking. ,Smoking helps you concentrate.,1.0
142,35,5,Please describe a time where you smoked routinely without thinking about it, When I've got a lot on my mind I feel as if it gives me the go ahead to smoke. I don't even know how many I smoke during these periods.,It's not just your thoughts that are affected by smoking. ,Smoking helps you think.,1.0
157,50,5,"Ok, so you associate Stress as something positive about smoking Please describe a time where you experienced stress and ended up smoking", It helps me centre my thoughts and helps me think things more clearly,Your stress relieving effects are due to nicotine. ,Smoking helps you focus.,1.0
159,52,5,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my daughter complained of her clothes smelling,Your worry is that people will notice your clothing smells. ,You're worried how your daughter is affected by the smell of smoke.,1.0
169,62,5,Great! Okay. Let's now chat about the bad things about smoking What is it about smoking that makes it bad?," The smell, The health risks, The price. The feeling of smoking makes you outcast in some places.",Smoking is seen by many people as an evil thing. ,"The cost, health risks, price, and perception are bad things about smoking.",1.0
200,93,5,Please describe a time where you were with other smokers and you didn't smoked, I smelt the way my buddies smelt and I felt good not to be stinky,Smelling others' breath makes you smell better. ,You don't like the smell of smoke.,0.0
202,95,5,"From what I gather, it seems that you think Having something in my Hand is something good about smoking Please describe a time where you smoked because you enjoy the feeling of holding a cigarette", I get so much in the habit that i do find my hands getting very twitchy and it starts me feeling like i need another,Your hands start sweating after smoking. ,Smoking is a habit for you.,0.0
214,107,5,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?," The feeling that i was doing completely wrong, at work or in a social setting",You are thinking about the costs of smoking. ,You don't like how others perceive your smoking.,1.0
215,108,5,"I'm sorry, I don't understand; I am in the process of learning the different kinds of answers. Can you write in a different way Don't worry, I'll give you options if I can't get what you're saying", It relaxes my mind and body.,Relaxing your mind is important. ,Smoking helps you relax.,1.0
216,109,5,Please desccribe a situation where you thought about being a good role model and that cause you not to smoke, At a childrens birthday party I was detemined not to be seen as a smoker,You didn't want people to see you as a bad person because of your smoking. ,You don't like being seen as a smoker.,1.0
217,110,5,Please describe a time where you experienced stress and didn’t end up smoking, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy,Stress is caused by smoking. ,Thinking about your family stopped you from smoking.,0.0
220,113,5,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i wasnt able to concentrate and was very ratty,Your ability to focus is important for success at school or work. ,Not smoking made you less focused.,1.0
226,119,5,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, nothing really comes to mind sorry,Nothing really came to mind. ,You don't remember what helped you not smoke.,1.0
229,122,5,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, just distaction really and not staying too still,Distraction helps you stay calm. ,Keeping yourself distracted helped you to not smoke.,1.0
231,124,5,Please describe a situation where you thought about being a good role model and that cause you not to smoke, i have really tried to stop i have focused on telling my daughter where i am wrong and why she should stay well away from smoking,Your efforts to be a positive influence has been successful. ,You do not want your kids to start smoking.,1.0
233,126,5,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, When I had got off an airplane after a long journey.,This was a very important moment in your life. ,You wanted to smoke after a long journey.,0.0
238,14,6,Please describe a time where you experienced stress and didn't end up smoking," When I am working, my job is quite stressful at times",Stressful situations make you quit smoking. ,You didn't smoke at work even when you were stressed.,1.0
239,15,6,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, I had a hard time running but still continued to smoke anyhow and missed my bus,You smoked because you felt you couldn't run anymore. ,You saw how your health was affected by smoking.,0.0
240,16,6,"Let me see if I recall correctly, so you think of Stigma or shame as something bad about smoking Please express a time where you experienced social stigma but still ended up smoking", Out with friends. The only smoker. Had to go outside in the cold to smoke,Your friends knew what you smoked. ,You had to smoke alone.,0.0
246,22,6,"Let me see if I recall correctly, so you think of Physical appearance as something bad about smoking Please describe a time where you thought about the effect of smoking on your appearance but ended up smoking", i worry about my skin aging faster due to smoking,Your physical appearance affects how others perceive you. ,Skin aging is a concern of smoking for you.,1.0
257,33,6,"I see, you get pleasure from smoking What else do you find positive about smoking?", I can concentrate more if I am smoking,It makes you focus on your job better. ,Smoking helps you concentrate.,1.0
259,35,6,Please describe a time where you smoked routinely without thinking about it, When I've got a lot on my mind I feel as if it gives me the go ahead to smoke. I don't even know how many I smoke during these periods.,It's important to remember that your brain is working overtime while you are smoking. ,Smoking helps you think.,0.0
274,50,6,"Ok, so you associate Stress as something positive about smoking Please describe a time where you experienced stress and ended up smoking", It helps me centre my thoughts and helps me think things more clearly,Your stress relieving effects are due to the nicotine in tobacco. ,Smoking helps you focus.,1.0
276,52,6,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my daughter complained of her clothes smelling,Your worry about the smell of cigarettes doesn't stop you from continuing to smoke. ,You're worried how your daughter is affected by the smell of smoke.,0.0
