,prompt,response,perm_012543,perm_012354,perm_120345,perm_201345,perm_543210,perm_305142
27,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i felt more in control of external stuff but had a few stressful events that pushed me back down, I was able to control my body and my mind., I felt more in control of my body and my mind, I was able to control my body and my mind. , I was able to control my body and my mind., feeling more in control of my own body and my own mind helped me to not smoke, I was able to control my body and my mind.
28,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was able to do the right thing and not feel guilty, I was able to do the right thing and not feel guilty, I was able to avoid smoking., I was able to do the right thing and not feel guilty, I was able to do the right thing and not feel guilty, thinking about the bad effects of smoking helped you to not smoke., I was able to stop smoking because I was able to stop smoking.
29,"Let me see if I recall correctly, so you think of Stigma or shame as something bad about smoking Please express a time where you experienced social stigma but still ended up smoking", Out with friends. The only smoker. Had to go outside in the cold to smoke, I was a smoker and I was worried about what others thought of my smoking, I was a smoker and I was worried about what my friends thought of my smoking, I was a smoker and I was a smoker., I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker., I was a smoker and I was a smoker., I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker. I was a smoker.
30,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my daughter complained of her clothes smelling, I was worried about how the smell of smoke affects those around me., I was worried about the smell of cigarettes and I didn't smoke, I was worried about the smell of cigarettes and I didn't smoke, I was worried about the smell of cigarettes and I didn't smoke, I was worried about her clothes smelling, I was worried about the smell of cigarettes and I didn't smoke
31,Please describe a time where you experienced stress and didn’t end up smoking, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy
32,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?," The feeling that i was doing completely wrong, at work or in a social setting", I was not doing anything wrong. , I was not doing anything wrong. , I was not smoking at all. , I was not doing anything wrong. , I was not doing anything wrong. , I was not doing anything wrong. 
33,"Ok, so you associate Stress as something positive about smoking Please describe a time where you experienced stress and ended up smoking", It helps me centre my thoughts and helps me think things more clearly,,,,,,
34,"From what I gather, it seems that you think Having something in my Hand is something good about smoking Please describe a time where you smoked because you enjoy the feeling of holding a cigarette", I get so much in the habit that i do find my hands getting very twitchy and it starts me feeling like i need another,,,,,,
35,Please describe a situation where you thought about being a good role model and that cause you not to smoke, i have really tried to stop i have focused on telling my daughter where i am wrong and why she should stay well away from smoking,,,,,,
36,Please desccribe a situation where you thought about being a good role model and that cause you not to smoke, At a childrens birthday party I was detemined not to be seen as a smoker,,,,,,
37,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, just distaction really and not staying too still,,,,,,
38,Please describe a time where you experienced stress and didn't end up smoking," When I am working, my job is quite stressful at times",,,,,,
39,Great! Okay. Let's now chat about the bad things about smoking What is it about smoking that makes it bad?," The smell, The health risks, The price. The feeling of smoking makes you outcast in some places.",,,,,,
40,"Okay, so you associate Smell as something negative about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", My stepdad hates the smell of cigarettes so I do my best to try to avoid smelling like smoke even though I am a smoker. Mainly out of respect and understanding that it's not the best smell in the world.,,,,,,
41,What is good about smoking?, its more the habit of holding the cigarette and reading outside when i do,,,,,,
42,"Okay, so you associate Health as something negative about smoking Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking", I recently had a cervical cancer scare,,,,,,
43,Please describe a time where you contemplated the consequences of smoking on your health and then did not smoke that time, i have been trying to kick the habit with vape but so far havent succeeded,,,,,,
44,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i havent been able to completely stop so far i didnt like the feel of the vape in my mouth and it didnt feel the same in my hand,,,,,,
45,Please describe a time where you wanted to enjoy holding a cigarette and didn't end up smoking, i was late for a appointment and couldnt have one before and i got very agitated and twitchy it wasnt a nice sensation,,,,,,
46,"Let me see if I recall correctly, so you think of Nicotine dependence as something bad about smoking Please describe a time where you had a compelling feeling to smoke and actually smoked", when i was under a lot of stress after a relations death,,,,,,
47,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, when i have been late and havent had the time but its never good if i do this as it makes me feel really bad,,,,,,
48,"From what I gather, it seems that you think Cost is something bad about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", everytime if i am honest i am ashamed i havent been able to stop when i take in the cost,,,,,,
49,Please describe a time where you thought about the cost of smoking and it prevented you from smoking a cigarette, all the time i dont have a lot of extra money so really have to budget some weeks i have to cut down to get by and its very hard,,,,,,
50,"Let me see if I recall correctly, so you think of Focus as something good about smoking Please describe a time where you wanted to focus on a task and ended up smoking", occasionally i will try and concentrate and it agitates me and makes me want to put a cigarette in my hand,,,,,,
51,Please describe a time where you wanted to focus on a task and didn't end up smoking, Sometimes i can power through the feeling but sometimes it can really stress me out,,,,,,
52,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I felt more of a pressure to complete things in one sit in and made myself push through the craving,,,,,,
53,Please describe a time where you thought about the effect of smoking on your appearance and didn't end up smoking, i didnt stop if i'm honest i just hydrated my skin more and used more exfoliating products,,,,,,
54,Please describe a time where you missed your routinely smoke, just when i have been late or rushed,,,,,,
55,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, wasnt really able to without completely changing my routine,,,,,,
56,"From what I gather, it seems that you think Smell is something bad about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", i dont like that it does linger on clothes and breath and it can be easily detected by no smokers,,,,,,
57,"Let me see if I recall correctly, so you think of Cost as something bad about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", When I smoked more then usual and ran out of cigarettes. I thought about buying more and thought about the cost,,,,,,
58,Please describe a time where you thought about the cost of smoking and it prevented you from smoking a cigarette, No money. Day before payday It was either lunch or ciarettesr,,,,,,
59,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was not able to breathe right,,,,,,
60,"From what I gather, it seems that you think Smell is something bad about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", In a crowded elevator. Just finished smoking a cigarette,,,,,,
61,What is it about smoking that makes it good?, It makes me feel less anxious and relaxed sometimes,,,,,,
62,"Thank you for confirming my understanding I see, you may smoke because you feel stressed Do you have more positive things about smoking? Tell me if you can think of any", It also lets me feel less awkward in some situations,,,,,,
63,"I appreciate you confirming my understanding I see, you feel compelled to smoke What else do you find positive about smoking?", I feel that it sometimes breaks the ice for a conversation with another smoker,,,,,,
64,Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette?, today I am broke and still had to buy them. I borrowed money,,,,,,
65,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, the next time I went there to visit I refrained ,,,,,,
66,Please desccribe a situation where you thought about wanting to be a good role model but ended up smoking, When my kids were younger I should have quyit but did not,,,,,,
67,"I get it, you think Socializing is both good and bad Please describe a time where you were with other smokers and ended up smoking", When ever I am with other smokers it makes it feel ok to smoke,,,,,,
68,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was not so socialable with the smokers as much,,,,,,
69,Please describe a time where you contemplated the consequences of smoking on your health and then did not smoke that time, I went hiking and wanted to be able to climb the mountain with my kids and so I did not smoke,,,,,,
70,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, I was compelled to have a cigarrette before an interview but refrained,,,,,,
71,"Thank you for confirming my understanding Let me see if I understand, you don't like that smoking makes you smell badly I appreciate you making things simple for me, but please use more words in your sentences Can you think of more things that you dislike about smoking? If so, please tell me", I dislike the fact my children worry about me smoking,,,,,,
72,"I appreciate you confirming my knowledge Let me see if I get it, you think that cigarettes are expensive I would like to know more about your reasoning, is it possible to use more words in your sentences Do you have more negative things about smoking? Tell me if you can think of any", The cost of smoking is making life difficult financially,,,,,,
73,"Okay, so you associate Cost as something negative about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", I was behind in paying a bill but spent the money on cigarettes anyway,,,,,,
74,Please describe a situation where you thought about being a good role model and that cause you not to smoke, After my daughter complained about her clothes smelling of smoke,,,,,,
75,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I realised it was affecting my dughter,,,,,,
76,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, Because of the effect it was having on my daughter,,,,,,
77,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was at work so unable to smoke,,,,,,
78,Thank you for clearing that up What else do you find positive about smoking?, It helps me focus and concentrate.,,,,,,
79,Thank you for confirming my understanding I understand: smoking relieves you of stress Do you have more positive things about smoking? Tell me if you can think of any, Smoking gives me a pleasurable and happy feeling. ,,,,,,
80,"I appreciate you confirming my knowledge I see, you feel compelled to smoke Do you have more positive things about smoking? Tell me if you can think of any", I like to smoke while I drink alcohol because it feel great,,,,,,
81,"Thank you for confirming my understanding OK, so smoking is pleasant and relaxing for you What else do you find positive about smoking?", I like to smoke if I am borred.,,,,,,
82,"Sorry, I don't get what you're saying. Can you give more details I'm trying to learn what you say, I'll give you options if I can't figure it out", It  gives me a rush and makes me feel slightly high.,,,,,,
83,"I appreciate you confirming my understanding OK, let me summarize what you said. You said ""I can concentrate more if I am smoking"", which I think is related to Nicotine dependence You also said ""I enjoy the kick"", ""Smoking gives me a pleasurable and happy feeling. "", ""I like to smoke while I drink alcohol because it feel great"", and ""I like to smoke if I am borred."", which I believe is essentially Feeling good You also said ""It  something to look forward to doing."", which I believe is essentially Routine You also said ""I like to socialise with other people who smoke."", which I believe is essentially Socializing You also said ""It relaxes me and gives me a sense of pleasure. "", ""It relaxes my mind and body."", and ""It  gives me a rush and makes me feel slightly high."", which I think is related to Stress OK. Let's now talk about the bad things about smoking What is it about smoking that makes it bad?", Im aware its very bad for your health.,,,,,,
84,So you think Nicotine dependence is good and bad at the same time Please describe a time where you had a compelling feeling to smoke and actually smoked, When I wake up in the morning.,,,,,,
85,Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette?, Every time I buy a pack of ciggs I think about the cost the craving  makes me continue to smoke.,,,,,,
86,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I had more will power and also I was using nicotine replacement therapy as in chewing gum,,,,,,
87,Please describe a time where you smoked because you needed to feel good, I lost internet connection this evening for ten minutes so I smoked to cheer myself up.,,,,,,
88,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, When my  ex colleague  was diagnosed with  stage three lung cancer.,,,,,,
89,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was feelimg good about myself and I had more determination.,,,,,,
90,Please desccribe a situation where you thought about wanting to be a good role model but ended up smoking, Nearly everyday when I'm around my children,,,,,,
91,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I felt like I didnt need to smoke brcause the nicotine gum was working,,,,,,
92,Please describe a time where you were worried about the smell of cigarettes but ended up smoking, When I was having visitors around for dinner. ,,,,,,
93,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my children's friends come over to our home.,,,,,,
94,So you think Socializing is good and bad at the same time Please describe a time where you were with other smokers and ended up smoking, When somebody offered me a cigarette I felt obliged to smoke it even though I didn't want one,,,,,,
95,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was determined and more motivated to succed.,,,,,,
96,Please describe a time where you experienced stress and didn’t end up smoking," After over spending in the supermarket, I didn't smoke because I thought It would be counter productive",,,,,,
