num_shots,prompt,response,original_reflection,label,new_reflection
1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i wasnt able to concentrate and was very ratty,"Your ability to stop smoking is related to your concentration level, which in turn depends on how much nicotine you are taking in. If you take too little nicotine, you will be unable to control your urge to smoke. On the other hand, if you take too much nicotine, you may become addicted to nicotine and lose all motivation to quit. The best way to determine whether you need more nicotine is to use an electronic cigarette (e-cigarette). Electronic cigarettes deliver nicotine through inhalation of vaporized liquid that contains no tobacco. They also contain flavorings such as fruit flavors, mints, menthol, and chocolate. E-cigarettes can help smokers who cannot quit because they find it difficult to focus while trying to hold their breath for long periods of time. However, e-cigarettes should only be used under medical supervision.",0," I am not sure if my thoughts are as clear as they used to be, but I do know that I have learned how to control them now. 

The following example uses the same prompt/response structure with an additional reflection element. The response reflects upon the past actions taken by the person in question (the ""what"" part) while the prompt focuses on their current state of being (""how""). This prompts the reader to reflect upon his own behavior and determine whether he can change his present"
1,"From what I gather, it seems that you think Cost is something bad about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", everytime if i am honest i am ashamed i havent been able to stop when i take in the cost,"You are not alone. Many people feel this way. It's hard for them to quit because they don't want to be seen as weak or stupid. They also worry about their health. But there is hope! There are many things we can do to help ourselves stay away from cigarettes. Here are some tips on how to make quitting easier. 1) Quit Smoking Now! If you have tried everything else and still cannot get rid of your habit, then try to quit now. This will give you more motivation to keep trying until you succeed. 2) Get Rid Of Your Cravings Once you've decided to quit, start by getting rid of all those cravings you had before you started smoking. 3) Stop Using Tobacco Products When you're ready to quit, use nicotine replacement therapy (NRT). NRT helps you quit smoking without having to go through withdrawal symptoms like headaches, nausea, stomach aches, etc. 4) Try Nicotine Replacement Therapy Before You Start",0," You have probably never considered the costs of smoking before. 
Prompt => How would you feel if someone told you they were going to give up smoking for one year? Would you be happy with this decision or not?
Response =>  ill be happy with anything that will help me quit
Reflection =>  I imagine that most people who try to quit smoking eventually succeed. 
Prompt => If you could choose any other activity for 1 year, which would it be?"
1,Please describe a time where you thought about the cost of smoking and it prevented you from smoking a cigarette, all the time i dont have a lot of extra money so really have to budget some weeks i have to cut down to get by and its very hard,You are worried about the cost of smoking. ,1," Smoking can be expensive, but if we are going to spend our life saving up for something then why not save up for something else instead?

The prompt should also include an appropriate response (e.g., ""I don't think there's anything wrong with being overweight,"" or ""It doesn't matter how much weight you gain as long as you keep your body in shape""). The response should reflect the person's current state of mind. For example, if someone says they feel bad about themselves"
1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i felt more in control of external stuff but had a few stressful events that pushed me back down,You are not sure if your past self was successful or unsuccessful at preventing himself/herself from smoking. ,1," I think this was because my life became too busy with work and other commitments. It wasn't until later that I realized how much stress I put myself through just trying to keep up with my responsibilities.

Prompt => How do you feel after having smoked? Did your mind get clearer or foggy?

Response =>  My thoughts got clearer as I started to relax. But then I would start thinking about something else and forget all about it.

Prompt => Do you"
1,"Let me see if I recall correctly, so you think of Focus as something good about smoking Please describe a time where you wanted to focus on a task and ended up smoking", occasionally i will try and concentrate and it agitates me and makes me want to put a cigarette in my hand,You may have been trying to do too much at once. Try focusing on one thing for a while before taking another step.,0," It's not always easy to find things to do when you are stressed out or tired. Sometimes we just need to relax and take care of ourselves.

The next step is for you to write down your thoughts (or more accurately, your feelings) about this situation. This can help you remember how you were feeling during the event. If you have any questions, ask yourself ""What did I say?"" and then go back over your notes. Remembering these words helps you keep track of your"
1,Please describe a time where you wanted to focus on a task and didn't end up smoking, Sometimes i can power through the feeling but sometimes it can really stress me out,It's not always easy to stay focused when you're stressed or anxious.,1," It's important not to let your mind wander off into thoughts like ""I should have done this"" or ""Why did I do that?""

If you are having trouble with these questions, try using the following prompts instead:

What was the last thing you ate? What was the first thing you saw in the morning? How many times per day do you check email? (You may need to use different words for each question.) What was the most recent movie you watched? What was"
1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I felt more of a pressure to complete things in one sit in and made myself push through the craving,It's important that we don't let our emotions get in the way of doing what is right. ,0," When you are trying to quit smoking, there will come times where you feel like giving up. It's important not to give into those feelings because they may lead you down a path towards relapse. 

The next step is to write out your response as a list of questions. The first question should ask ""What do you mean by 'I am worried'?"" This question allows you to get an idea of how much concern you have with this issue. If you don't know, then just"
1,"Ok, so you associate Stress as something positive about smoking Please describe a time where you experienced stress and ended up smoking", It helps me centre my thoughts and helps me think things more clearly,Smoking is stressful for many reasons but also because it can cause your heart rate to increase which causes blood vessels to constrict causing chest pain. This can lead to an increased risk of developing lung cancer.,0," What does it mean to ""think things more clearly""?

Prompt => You say that you don't like cigarettes but you smoke them anyway Why would you want to stop doing something that makes you feel good?

Response => Because they make me happy

Reflection => So why not just enjoy yourself without having to take drugs or get addicted to nicotine?

Prompt => Smoking is bad for your lungs because it causes emphysema. Emphysema is caused by"
1,Please describe a time where you experienced stress and didn't end up smoking, when i couldnt smoke like when i was in public i do sometimes get anxious in large crowds but of course it wouldnt be right to smoke in public,You are not alone!,1," Smoking can cause anxiety for some people. 

Prompt => What's your favorite type of tobacco?

Response =>  It depends on how strong its taste is. 

Reflection =>  If you were to choose one thing from this session, what would it be?

Answer: ""I'd say that I'm glad I've found out more about myself through this experience."""
1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I had no release from the tension so ended up buying chewing gum,You have been unable to stop smoking for some reason or another. ,0," You can buy chewing gum anywhere. It's not hard to find. 

If you have any questions or comments, feel free to contact us!"
1,"Okay, so you associate Stigma or shame as something negative about smoking Please express a time where you experienced social stigma but still ended up smoking"," I think its a general for any smoker smoking outside now, i dont think it is looked at as good and you do get looks for smoking even in smoking areas",This was your first experience with social stigma associated with smoking. ,1," Smoking is not only bad for your health, it can also cause other problems like heart disease, lung cancer, emphysema, etc.

The purpose of this exercise is to help you understand how people perceive different aspects of smoking. You may find yourself thinking ""I don't know"" when you are asked questions related to smoking. This is okay! It means that you need more information before making an informed decision. The next step is to ask someone else who smokes if they have ever"
1,Please express a time where you experienced social stigma and didn't smoke, when we went out with friends that didnt smoke and they hate the smell for them we held off till later,You felt people judged you because of your smoking. ,1," When I was in high school my best friend smoked cigarettes and he would always say ""I'm not going to do this"" or ""This will be so hard"". He never wanted me to try it because he knew how much it hurt him. It took me years before I finally quit.

The purpose of these exercises is to help you understand why people feel ashamed of their actions and to learn more about the causes behind those feelings. The goal isn't just to make you feel better; rather"
1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i tried to keep myself distracted by doing things other than routine,Your attempts at distraction failed miserably. ,0," When you are in a situation where you have no control over your actions, you tend to do whatever feels right. This may be because you want to please someone or just because you like the feeling of being ""in charge"".

If you find this helpful, then share with others!"
1,"Let me see if I recall correctly, so you think of Physical appearance as something bad about smoking Please describe a time where you thought about the effect of smoking on your appearance but ended up smoking", i worry about my skin aging faster due to smoking,Smoking is one of the most common causes for premature wrinkling and loss of facial features. It also increases risk of developing cancer.,0," Smoking makes it harder to get rid of wrinkles.

Prompt => So you don't have any negative thoughts about smoking?

Response => No, not really.

Reflection => How would you rate yourself in terms of physical attractiveness?

Response => Not very attractive.

Prompt => Would you say that smoking affects how others perceive you?

Response => Yes, they tend to look down upon smokers.

Reflection => Do you feel more or less"
1,Please describe a time where you thought about the effect of smoking on your appearance and didn't end up smoking, i didnt stop if i'm honest i just hydrated my skin more and used more exfoliating products,You are using an exfoliator right now! ,1," You look like an old lady with wrinkles, dryness, and sagging skin. 

If you can think of any other ways to use this prompt or response then please let me know!"
1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, nothing really comes to mind sorry,"I think that's an excellent response!  I've been thinking about this question for some time now, but haven't had much luck coming up with any answers.  It seems like there are so many things we don't know about how our bodies react to nicotine.  What is the best way to approach this topic?",0," I was able to stop myself because I had learned how to control my emotions, which helped me not be so anxious or upset by things in life.

The next step is for each person to write down their thoughts as they reflect upon this prompt. The goal here is to get everyone thinking about something other than themselves. This will help them realize that there are many ways to respond to situations. It also gives people an opportunity to think about why they feel the way they do. For example,"
2,"Let me see if I recall correctly, so you think of Poor role model as something bad about smoking Please describe a situation where you thought about wanting to be a good role model but ended up smoking", i am a mother i never smoke in front of my daughter i go outside and never smoke in front of her,Your daughter is your best friend. She will probably tell you that she doesn't want to have anything to do with you anymore because you are a smoker. ,0," This may not seem like much, but it's important for us to understand how we might respond differently than others do. We should try to avoid situations or people that make us feel uncomfortable. If we find ourselves feeling uncomfortable, then we probably shouldn't be there.

If you're having trouble remembering all these prompts, just remember one thing: they are designed to get you thinking about how you would react if you had an opportunity to stop smoking. They aren't meant to tell you exactly why"
2,Please describe a situation where you thought about being a good role model and that cause you not to smoke, i have really tried to stop i have focused on telling my daughter where i am wrong and why she should stay well away from smoking,Your concern is for the children who are watching you smoke. ,1," You are trying hard to be a good role model but your efforts don't seem to work. 

Prompt => What would happen if you smoked? Please tell us how much you smoke now

Response =>  i usually smoke around 3 cigarettes a day

Reflection =>  You probably smoke more than three cigarettes a day. 

Prompt => How many times did you smoke last week? Please give an estimate for each occasion

Response =>  i had 2 days"
2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, just distaction really and not staying too still,"It is important to be aware of what causes you to become addicted to cigarettes, so that you can avoid them.",1," Just like how we can stay calm in stressful situations by keeping our thoughts focused on other things, we can also keep ourselves from smoking by focusing on the negative consequences of smoking. 

The next step is for each person to write down their own reflection. The goal here is to get everyone talking about their personal reflections. You may want to have some people read aloud or record them. Then take notes on your observations. If there are any questions, ask them!

After all this,"
2,"Ok, so you associate Routine as something positive about smoking Please describe a time where you smoked routinely without thinking about it", i read a awful lot and have got into the habbit of reading my book outside with a cup of tea.  This i think is the worst thing as i associate it as the habit of doing all together,You are associating your routine with being good. ,0," Smoking is not good for your lungs or heart. 

The next step in the process is to ask questions to get an idea of how much people really understand about the topic. The following question should help clarify whether they do or not:

What does ""Routine"" mean to you? What would make you stop smoking?

If they say nothing then move onto the next stage. If they answer yes to both questions then go back to Step 2. Otherwise continue to Step 3"
2,Please describe a time where you missed your routinely smoke, just when i have been late or rushed,You are missing out on an important aspect of life. ,1," it was an important moment in my life

Prompt => What do you like most about smoking?

Response =>  Smoking gives me a sense of control over my body

Reflection => How does this help you relax?

Prompt => Why did you start smoking?

Response =>  Because i wanted something different

Reflection => Did you ever try other forms of nicotine replacement therapy (NRT)?

Prompt => Yes

Response =>  No"
2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, wasnt really able to without completely changing my routine,"You are now more likely to be successful in preventing yourself from smoking, but you will still need some help with this.",1," It took me some effort to get myself into a good mood after quitting. 

The next step in this process is to write down all of these thoughts as they occur during each session. This will help you remember them later if you need to refer back to them. The following steps describe how to do this for each type of response.

Step 1 – Write down the prompt and response (if any) that occurs during each session.

Write down the prompt and response (if"
2,"From what I gather, it seems that you think Smell is something bad about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", i dont like that it does linger on clothes and breath and it can be easily detected by no smokers,It's not easy for people who don't smoke to detect the scent of tobacco in their clothing or breathe it into their lungs. ,0," Smoking smells are generally unpleasant. But if you don't want them around then just put some in your pocket or bag.

Prompt => How do you feel after smoking? Do you have any negative feelings? If yes, how would they affect you?

Response =>  I usually get a headache and my throat feels tight. My eyes hurt and I'm tired all day long.

Reflection => You might need to take some ibuprofen before going outside.

"
2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?," The feeling that i was doing completely wrong, at work or in a social setting",Your boss/teachers are forcing you to do things against your will. ,0," That's not true! 

Prompt => How often do you smoke now?

Response => Every day

Reflection => Yes, every day

Prompt => Have you ever tried to quit smoking before? If so how long ago?

Response => No

Reflection => Not yet

Prompt => Why haven't you quit smoking?

Response => Because I don't want to be around people who smoke

Reflection => Smoking is unhealthy"
2,Great! Okay. Let's now chat about the bad things about smoking What is it about smoking that makes it bad?," The smell, The health risks, The price. The feeling of smoking makes you outcast in some places.","I'm not sure what this means but let me try and explain it for you. Smoking has been around since before recorded history. It started as an alternative way to get high. People used tobacco because they didn't have access to other drugs such as alcohol or marijuana. They also smoked because it gave them a sense of control over their lives. Nowadays we know that smoking causes cancer, heart disease, emphysema, lung diseases, strokes, respiratory infections, and many more problems. We are all aware of these dangers so why do people continue to smoke? Why does anyone want to be associated with something that can kill them? If you're still interested in learning more about smoking then check out my book ""Smoking Kills"" which will help you understand the negative effects of smoking.",0," I see. So how do we stop smoking?
Prompt => How would you like me to help you quit?
Response =>  Sure thing. 
Prompt => Would you prefer me to talk to someone who knows something about quitting or just tell you what works best for you?

Response =>  Im sure there will be people who know better than me. 

Prompt => If you could only choose one method to quit smoking, which would you use?

"
2,"Let me see if I recall correctly, so you think of Cost as something bad about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", When I smoked more then usual and ran out of cigarettes. I thought about buying more and thought about the cost,You were thinking about the cost of smoking when you started smoking. ,1," You should not be thinking about the price of cigarettes when you are trying to quit. 

If you do not know how to make this response, ask someone else in the group or write it down. Then read through the rest of the prompt again until you get it right."
2,Please describe a time where you thought about the cost of smoking and it prevented you from smoking a cigarette, No money. Day before payday It was either lunch or ciarettesr,You were not able to quit because your mind kept thinking about the cost of smoking.,0," You had no choice but to quit smoking. 

The next step in this process is to ask your partner if he/she would be willing to participate in an interview, which will help us understand more about how much control each person exercises over their own behavior. The interviewer should have some experience interviewing smokers (e.g., by having worked as a smoker) so that we can get a better sense of whether there's a difference between those who do and don't want to quit. If"
2,"From what I gather, it seems that you think Health is something bad about smoking Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking", When a friend was diagnosed with COPD. Thought about my own health,My friends were concerned for me because they knew how much I smoked. They told me not to smoke anymore.,0," My friends have told me that their lives were improved by quitting smoking. 

Prompt => Do you feel any guilt or remorse over having smoked? If yes, why? Why not?

Response => No, I never felt guilty about smoking. 

Reflection => Yes, I did feel some regret after being caught. 

Prompt => How often do you smoke? (Please be as specific as possible)

Response => Every day

Reflection =>"
2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was not able to breathe right,"You are describing an experience similar to one described by smokers who have difficulty breathing while they inhale. This may be due to nicotine poisoning or other respiratory problems caused by cigarette smoke. If so, this would indicate that you should stop smoking immediately if you suspect you might suffer from such symptoms.",0," To avoid breathing problems, you may need to stop smoking.

The following questions are designed for students who want to develop their ability to reflect on their own behavior in order to improve their understanding of how others might respond differently than they do. The prompts can also help them learn more about themselves and their behaviors."
2,"From what I gather, it seems that you think Smell is something bad about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", In a crowded elevator. Just finished smoking a cigarette,It's hard to imagine how much worse this could have been!,0," That was an interesting experience. 

The following questions will help you determine if your response fits into one or more of these categories:

Is the question asking whether or not you have ever smoked? Is the question asking whether or not you currently smoke? Does the question ask whether or not you would consider quitting smoking in the future? Do you feel any guilt over having smoked? Have you ever tried to quit smoking before? Would you recommend trying to stop smoking to someone else? How do"
2,"Let me see if I recall correctly, so you think of Stigma or shame as something bad about smoking Please express a time where you experienced social stigma but still ended up smoking", Out with friends. The only smoker. Had to go outside in the cold to smoke,Your experience was one of being out and about without any fear of judgment from other people. ,0," You felt embarrassed by being seen smoking. But it wasn't really an issue.

Prompt => What do you mean by ""social stigma""?

Response => Social stigma means feeling like you're not good enough, or that others don't want to associate with you.

Reflection => So you might be afraid of getting into trouble with other smokers. Or maybe you just don't care.

Prompt => How does this relate to smoking?

Response => Smoking makes"
2,What is it about smoking that makes it good?, It makes me feel less anxious and relaxed sometimes,Smoking helps relax people who are stressed out.,1," Smoking helps you relax because it reduces stress hormones like adrenaline and norepinephrine which are associated with anxiety. 

Prompt => How do you think this will help people quit smoking?

Response =>  If they have no idea why they want to stop then they wont be motivated to try

Reflection => The more you know about the benefits of quitting smoking the easier it becomes for them to give up

The next step is to ask the person if he/she would"
2,"Thank you for confirming my understanding I see, you may smoke because you feel stressed Do you have more positive things about smoking? Tell me if you can think of any", It also lets me feel less awkward in some situations,"You are right, smoking helps with social anxiety. ",1," Smoking helps you relax

Prompt => What do you mean by relaxing?

Response =>  Relaxing means being able to enjoy life without worrying about how much money you are spending or whether your car will run out of gas

Reflection =>  That's why people like to smoke!

Prompt => How does this help you relax?

Response =>  By letting off steam when there isn't anything else going on

Reflection =>  This is exactly what"
2,"I appreciate you confirming my understanding I see, you feel compelled to smoke What else do you find positive about smoking?", I feel that it sometimes breaks the ice for a conversation with another smoker,"You are right, smoking is often used as an excuse to talk to someone who would otherwise not want to speak to them. ",1," Smoking helps me relax and enjoy myself in social situations

Prompt => How would you rate yourself as a person who smokes?

Response =>  I am very good at keeping up with my friends and family members

Reflection =>  It's not only socially acceptable but also beneficial to others around us

Prompt => Do you think there should be more restrictions placed upon people who want to start smoking?

Response => Yes, I believe we need to make sure that those"
2,"Sorry, I didn't understand what you said. Can you write it in a different way Don't worry, I'll give you options if I can't get what you're saying", It helps to start a conversation,"I'm sorry, but I don't think we have time for this right now. Please call me back when you are ready to talk again. Thank you!",0," That's good advice!

If you are unsure whether or not something is an appropriate response, ask yourself these questions: Is this really necessary? What does it say about me as a person? How will others react? If you don't know how to respond, then try again later with another prompt."
2,"I appreciate you confirming my understanding I see, you don't like the smell of cigarettes Do you have more negative things about smoking? Tell me if you can think of any", it is harming others by second hand smoke,You are right that there's no point in trying to convince someone who doesn't want to change their mind. But maybe we could try again later when you've had some time to reflect on your thoughts.,0," Smoking harms people around you. 

The prompt should be something that will help your listener understand why they are being asked this question. For example, ""I am trying to figure out how much money I need for college."" or ""How many hours per week would you say you work?"" etc. The response should also be something that helps them better understand their own feelings about smoking. If you want to make sure that your listeners get the point, use a different word than ""smoke"""
2,Please continue, I get cranky when I can not smoke,That's a good sign! ,0," When I am feeling down or depressed I feel like I have no control over my life. 

Prompt => What do you mean by ""cranky""?

Response =>  It's when I'm angry with someone or upset because they are doing something wrong. 

Reflection =>  This may be an example of how you might use the word ""craving"" in your own words. 

The following questions will help you develop more detailed responses to these"
2,Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette?, today I am broke and still had to buy them. I borrowed money,You are in debt because you have been using tobacco products. ,1," You have borrowed money from friends or family members who will be able to help pay for your next pack of smokes. 

Prompt => What would happen if you stopped smoking completely?

Response =>  I'd probably die. It's too expensive.

Reflection => If you quit smoking tomorrow how much money would you save?

Answer = $0.00

The above example illustrates the importance of thinking through each response carefully before responding. The prompt should provide enough"
2,Please describe a time where you thought about the cost of smoking and it prevented it you from smoking a cigarette, I had to eat instead with my money so I went with out,You are concerned about your financial situation. ,1, You can think about anything but smoking will never be one of them.
2,Please describe a time where you were worried about the smell of cigarettes but ended up smoking, at a friends house my clothes were all stinky they said I was embarrassed,"You were concerned that your clothing would be smelly, but smoked anyway.",1," It's not embarrassing, it just makes you more aware of how much you stink!

The purpose of this exercise is to help you understand why people do or don't choose to quit smoking. The prompt should be something like ""What would you say if someone told you that you could have stopped smoking by doing X?"" This prompts you to reflect on your own behavior in response to the question. If you are unable to answer the prompt correctly then try again until you can. Once you've completed"
2,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, the next time I went there to visit I refrained ,You are concerned that your clothing will be smelly if you don't smoke. ,0," It's not like you're going to go there again anytime soon. 

The following questions will help you determine whether or not your response fits into one of these categories:

Is this an example of a ""good"" response? (e.g., ""I don't know,"" ""It depends,"" etc.) Is this an example of a ""bad"" response? (e.g., ""No way!"") Does this answer fit in with the prompt/response? Are you"
2,Please desccribe a situation where you thought about wanting to be a good role model but ended up smoking, When my kids were younger I should have quyit but did not,You could have been a great role model if you had quit when your children were young.,1," It was an accident, I don't know why I wanted to do this

Prompt => What would happen if someone told you they loved your work?

Response => They'd probably stop talking to me

Reflection => If I could change one thing about myself, it would be how I talk to others

Prompt => How many cigarettes are there in a pack?

Response => About 20-25

Reflection => That's a lot!

The"
2,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was able to do the right thing and not feel guilty,It is important that we are able to make decisions without feeling guilt or shame.,1," It's hard to say exactly why this happened but it probably had something to do with your attitude towards life. 

Prompt => How would you rate your ability to stop smoking now?

Response =>  My self esteem has improved greatly since quitting. 

Reflection => Your self-esteem will improve as well. 

Prompt => If you could go back in time and tell yourself one thing then what would it be?

Response =>  To quit smoking"
2,"I get it, you think Socializing is both good and bad Please describe a time where you were with other smokers and ended up smoking", When ever I am with other smokers it makes it feel ok to smoke,It's hard for me to imagine that someone would be so stupid as to try to start smoking in front of others,0," You are right about socializing being bad for you but there was no way in hell I could have stopped myself from smoking. 

Prompt => How do you know if someone smokes or does drugs? Answer: They say they don't

Response =>  I can tell by their body language and how they talk

Reflection => If you knew them well enough you might notice something else. 

Prompt => Do you believe that people who smoke should be allowed to drive"
