,prompt,response,generated_reflections_similar_primers,labels_similar_primers,generated_reflections_random_primers,human_label_random_primers
13,"Thank you for confirming my understanding OK, so you smoke when people around you are smoking Do you have more negative things about smoking? Tell me if you can think of any", It can make you a social outcast.,"[' Smoking can make you a social outcast.', 6, 100, 0.6, 1.0, 0]",1,"["" You bought chewing gum because you didn't want to be bothered by people who thought you smelled like smoke."", 6, 100, 0.6, 1.0, 0]",0
14,"Let me see if I recall correctly, so you think of Poor role model as something bad about smoking Please describe a situation where you thought about wanting to be a good role model but ended up smoking", My children moaned at me as they thought I would get ill from smoking but I smoked anyway,"[' You did not smoke around your children.', 6, 100, 0.6, 1.0, 0]",0,"[' Smoking has been associated with being socially isolated.', 6, 100, 0.6, 1.0, 0]",0
15,"Sorry, I didn't understand what you said. Can you write it in a different way I'm trying to learn what you say, I'll give you options if I can't figure it out", I like to socialise with other people who smoke.,"[' Smoking is a social activity.', 6, 100, 0.6, 1.0, 0]",1,"[' Smoking helps you relax.', 6, 100, 0.6, 1.0, 0]",0
16,Please describe a time where you thought about the cost of smoking and it prevented it you from smoking a cigarette, I had to eat instead with my money so I went with out,"["" You had to eat with your money so you didn't smoke."", 6, 100, 0.6, 1.0, 0]",1,"[' Your desire to help others is what motivated you to quit smoking.', 6, 100, 0.6, 1.0, 0]",
17,"Okay, so you associate Health as something negative about smoking Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking", When I had a pain in my chest,"[' Smoking helps you think.', 6, 100, 0.6, 1.0, 0]",0,"[' It makes you more comfortable around smokers.', 6, 100, 0.6, 1.0, 0]",
18,"Let me see if I understand, you want to be a good role model for the people close to you Do you have more negative things about smoking? Tell me if you can think of any", Aging or appearance change is always a fear,"[' Aging or appearance change is always a fear.', 6, 100, 0.6, 1.0, 0]",1,"[' Stress makes you want to smoke.', 6, 100, 0.6, 1.0, 0]",
22,Please describe a time where you wanted to feel good and didn't get that through smoking, Most of the time to be honest!,"[' Smoking helps you feel good.', 6, 100, 0.6, 1.0, 0]",1,"[' Smoking makes you more aware of smells.', 6, 100, 0.6, 1.0, 0]",
23,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, Will power and nicotine  replacement chewing gum.,"[' Will power and nicotine replacement gum helped you to stop smoking.', 6, 100, 0.6, 1.0, 0]",1,"[' Eating helps you stop smoking.', 6, 100, 0.6, 1.0, 0]",
24,"Okay, so you associate Stigma or shame as something negative about smoking Please express a time where you experienced social stigma but still ended up smoking"," I think its a general for any smoker smoking outside now, i dont think it is looked at as good and you do get looks for smoking even in smoking areas","[' You are worried about what others will think of your smoking.', 6, 100, 0.6, 1.0, 0]",1,"[' You have an issue with your heart.', 6, 100, 0.6, 1.0, 0]",
25,"I see, you want to be a good role model for the people close to you What else do you find negative about smoking?", Nicotine stains on furniture and walls are not nice,"["" You're worried about how the smell of cigarettes affects those around you."", 6, 100, 0.6, 1.0, 0]",0,"[' Ageing makes you feel old.', 6, 100, 0.6, 1.0, 0]",
26,"I see, you get pleasure from smoking What else do you find positive about smoking?", I can concentrate more if I am smoking,"[' You can concentrate more if you are smoking.', 6, 100, 0.6, 1.0, 0]",1,"[' Stressful situations make you feel anxious, which makes you crave nicotine.', 6, 100, 0.6, 1.0, 0]",
27,"I appreciate you confirming my understanding I understand, you like the flavour of cigarettes I would like to know more about your reasoning, is it possible to use more words in your sentences Are there other things that are good about smoking? If so, please tell me", It helps me feel less stressed.,"[' Smoking helps you relax.', 6, 100, 0.6, 1.0, 0]",1,"[' Stress relieving.', 6, 100, 0.6, 1.0, 0]",
28,Please describe a time where you experienced stress and didn't end up smoking, when i couldnt smoke like when i was in public i do sometimes get anxious in large crowds but of course it wouldnt be right to smoke in public,"[' Smoking helps you relax.', 6, 100, 0.6, 1.0, 0]",1,"[' Smelling like friends makes you want to smoke more.', 6, 100, 0.6, 1.0, 0]",
29,"I appreciate you confirming my understanding I see, you are concerned about your health Do you have more negative things about smoking? Tell me if you can think of any", It makes your clothes and hair smell.,"["" You're worried about how your clothes and hair smell."", 6, 100, 0.6, 1.0, 0]",1,"[' Smoking made you talk more.', 6, 100, 0.6, 1.0, 0]",
30,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i felt more in control of external stuff but had a few stressful events that pushed me back down,"[' Smoking helped you to relax.', 6, 100, 0.6, 1.0, 0]",1,"[' Smoking makes you want to do things.', 6, 100, 0.6, 1.0, 0]",
31,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was able to do the right thing and not feel guilty,"[' Doing the right thing helped you to stop smoking.', 6, 100, 0.6, 1.0, 0]",1,"[' Smoking helps relieve stress.', 6, 100, 0.6, 1.0, 0]",
32,"Let me see if I recall correctly, so you think of Stigma or shame as something bad about smoking Please express a time where you experienced social stigma but still ended up smoking", Out with friends. The only smoker. Had to go outside in the cold to smoke,"[' You were worried about how others would judge you.', 6, 100, 0.6, 1.0, 0]",1,"[' Nicotine replacement gum helps you stop smoking.', 6, 100, 0.6, 1.0, 0]",
33,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my daughter complained of her clothes smelling,"["" You didn't want to smell like a smoker."", 6, 100, 0.6, 1.0, 0]",0,"["" It's more common than people realize."", 6, 100, 0.6, 1.0, 0]",
34,Please describe a time where you experienced stress and didn’t end up smoking, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy,"[' Stress is a trigger for smoking.', 6, 100, 0.6, 1.0, 0]",1,"[' You can clean these easily using alcohol or detergent.', 6, 100, 0.6, 1.0, 0]",
35,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?," The feeling that i was doing completely wrong, at work or in a social setting","[' You were doing something wrong.', 6, 100, 0.6, 1.0, 0]",0,"[' You are able to focus better while smoking.', 6, 100, 0.6, 1.0, 0]",
36,"Ok, so you associate Stress as something positive about smoking Please describe a time where you experienced stress and ended up smoking", It helps me centre my thoughts and helps me think things more clearly,"[' Stress increases your urge to smoke.', 6, 100, 0.6, 1.0, 0]",1,"["" It's important to relax after work or school."", 6, 100, 0.6, 1.0, 0]",
38,"From what I gather, it seems that you think Having something in my Hand is something good about smoking Please describe a time where you smoked because you enjoy the feeling of holding a cigarette", I get so much in the habit that i do find my hands getting very twitchy and it starts me feeling like i need another,"[' You use smoking to distract yourself.', 6, 100, 0.6, 1.0, 0]",1,"[' Smoking can make you more relaxed.', 6, 100, 0.6, 1.0, 0]",
40,Please describe a situation where you thought about being a good role model and that cause you not to smoke, i have really tried to stop i have focused on telling my daughter where i am wrong and why she should stay well away from smoking,"["" You're worried about being a good role model to your daughter."", 6, 100, 0.6, 1.0, 0]",1,"[' Your clothing smells of cigarette smoke.', 6, 100, 0.6, 1.0, 0]",
41,Please desccribe a situation where you thought about being a good role model and that cause you not to smoke, At a childrens birthday party I was detemined not to be seen as a smoker,"["" You're worried about being a good role model to your children."", 6, 100, 0.6, 1.0, 0]",0,"[' Smoking helps you deal with stress better.', 6, 100, 0.6, 1.0, 0]",
42,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, just distaction really and not staying too still,"[' Distraction helped you to stop smoking.', 6, 100, 0.6, 1.0, 0]",1,"[' To stop smoking means to make an effort to avoid the temptation.', 6, 100, 0.6, 1.0, 0]",
43,Please describe a time where you experienced stress and didn't end up smoking," When I am working, my job is quite stressful at times","[' Smoking helps you to relax.', 6, 100, 0.6, 1.0, 0]",1,"[' The cost of cigarettes has increased over the years.', 6, 100, 0.6, 1.0, 0]",
45,Great! Okay. Let's now chat about the bad things about smoking What is it about smoking that makes it bad?," The smell, The health risks, The price. The feeling of smoking makes you outcast in some places.","["" You're outcast in some places because of the smell of smoking."", 6, 100, 0.6, 1.0, 0]",0,"[' Smoking is associated with money.', 6, 100, 0.6, 1.0, 0]",
46,"Okay, so you associate Smell as something negative about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", My stepdad hates the smell of cigarettes so I do my best to try to avoid smelling like smoke even though I am a smoker. Mainly out of respect and understanding that it's not the best smell in the world.,"["" You're worried about how others will judge your smoking habits."", 6, 100, 0.6, 1.0, 0]",0,"[' Smoking causes heart attacks.', 6, 100, 0.6, 1.0, 0]",
47,What is good about smoking?, its more the habit of holding the cigarette and reading outside when i do,"[' Smoking is a habit of holding the cigarette and reading outside.', 6, 100, 0.6, 1.0, 0]",0,"[' Ageing does not affect your ability to quit smoking.', 6, 100, 0.6, 1.0, 0]",
49,"Okay, so you associate Health as something negative about smoking Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking", I recently had a cervical cancer scare,"[' You were worried about the health consequences of smoking.', 6, 100, 0.6, 1.0, 0]",1,"[' Smoking helps you relax, which makes you less likely to feel anxious or depressed.', 6, 100, 0.6, 1.0, 0]",
50,Please describe a time where you contemplated the consequences of smoking on your health and then did not smoke that time, i have been trying to kick the habit with vape but so far havent succeeded,"["" You didn't smoke because you were worried about the consequences of smoking."", 6, 100, 0.6, 1.0, 0]",0,"[' Smoking makes you feel better.', 6, 100, 0.6, 1.0, 0]",
51,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i havent been able to completely stop so far i didnt like the feel of the vape in my mouth and it didnt feel the same in my hand,"[' Vaping is a better alternative to smoking.', 6, 100, 0.6, 1.0, 0]",0,"["" Smoking is an addiction. It's hard to quit once started."", 6, 100, 0.6, 1.0, 0]",
52,Please describe a time where you wanted to enjoy holding a cigarette and didn't end up smoking, i was late for a appointment and couldnt have one before and i got very agitated and twitchy it wasnt a nice sensation,"[' Smoking is a way to relax.', 6, 100, 0.6, 1.0, 0]",0,"[' Talking about something positive helps you relax.', 6, 100, 0.6, 1.0, 0]",
54,"Let me see if I recall correctly, so you think of Nicotine dependence as something bad about smoking Please describe a time where you had a compelling feeling to smoke and actually smoked", when i was under a lot of stress after a relations death,"[' You were under a lot of stress.', 6, 100, 0.6, 1.0, 0]",1,"[' Smelling good helps you relax, which makes you less likely to smoke.', 6, 100, 0.6, 1.0, 0]",
55,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, when i have been late and havent had the time but its never good if i do this as it makes me feel really bad,"[' Smoking is a compulsion.', 6, 100, 0.6, 1.0, 0]",0,"[' Smoking helps you relieve stress.', 6, 100, 0.6, 1.0, 0]",
56,"From what I gather, it seems that you think Cost is something bad about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", everytime if i am honest i am ashamed i havent been able to stop when i take in the cost,"["" You're ashamed of the cost of smoking."", 6, 100, 0.6, 1.0, 0]",1,"[' Nicotine replacement gum helps you quit smoking.', 6, 100, 0.6, 1.0, 0]",
57,Please describe a time where you thought about the cost of smoking and it prevented you from smoking a cigarette, all the time i dont have a lot of extra money so really have to budget some weeks i have to cut down to get by and its very hard,"[' Smoking helps you think.', 6, 100, 0.6, 1.0, 0]",0,"["" You don't want people looking down upon you because they know you've been smoking."", 6, 100, 0.6, 1.0, 0]",
58,"Let me see if I recall correctly, so you think of Focus as something good about smoking Please describe a time where you wanted to focus on a task and ended up smoking", occasionally i will try and concentrate and it agitates me and makes me want to put a cigarette in my hand,"["" You're worried about how the smell of cigarettes affects those around you."", 6, 100, 0.6, 1.0, 0]",0,"["" It's hard to avoid this problem."", 6, 100, 0.6, 1.0, 0]",
59,Please describe a time where you wanted to focus on a task and didn't end up smoking, Sometimes i can power through the feeling but sometimes it can really stress me out,"[' Smoking helps you focus.', 6, 100, 0.6, 1.0, 0]",1,"[' This may be because you have been drinking alcohol before you started smoking.', 6, 100, 0.6, 1.0, 0]",
60,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I felt more of a pressure to complete things in one sit in and made myself push through the craving,"[' You felt a pressure to complete things in one sitting.', 6, 100, 0.6, 1.0, 0]",1,"[' Smelling tobacco makes you relax.', 6, 100, 0.6, 1.0, 0]",
61,Please describe a time where you thought about the effect of smoking on your appearance and didn't end up smoking, i didnt stop if i'm honest i just hydrated my skin more and used more exfoliating products,,0.634615384615385,"[' Smoking helps you relax.', 6, 100, 0.6, 1.0, 0]",
62,Please describe a time where you missed your routinely smoke, just when i have been late or rushed,,,"[' Smelling like cigarettes make people want to quit.', 6, 100, 0.6, 1.0, 0]",
63,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, wasnt really able to without completely changing my routine,,,"[' The stress of having an illness or disease caused you to want to quit.', 6, 100, 0.6, 1.0, 0]",
64,"From what I gather, it seems that you think Smell is something bad about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", i dont like that it does linger on clothes and breath and it can be easily detected by no smokers,,,"[' To avoid guilt, you had to stop smoking.', 6, 100, 0.6, 1.0, 0]",
65,"Let me see if I recall correctly, so you think of Cost as something bad about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", When I smoked more then usual and ran out of cigarettes. I thought about buying more and thought about the cost,,,"[' Smoking has become much cheaper over the years.', 6, 100, 0.6, 1.0, 0]",
66,Please describe a time where you thought about the cost of smoking and it prevented you from smoking a cigarette, No money. Day before payday It was either lunch or ciarettesr,,,"[' Having a goal helped you to stop smoking.', 6, 100, 0.6, 1.0, 0]",
67,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was not able to breathe right,,,"[' Smelling nice makes you want to stop smoking.', 6, 100, 0.6, 1.0, 0]",
68,"From what I gather, it seems that you think Smell is something bad about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", In a crowded elevator. Just finished smoking a cigarette,,,"[' You were able to run despite having a hard time.', 6, 100, 0.6, 1.0, 0]",
69,What is it about smoking that makes it good?, It makes me feel less anxious and relaxed sometimes,,,"[' Being out with friends helps you avoid being judged by others for smoking.', 6, 100, 0.6, 1.0, 0]",
70,"Thank you for confirming my understanding I see, you may smoke because you feel stressed Do you have more positive things about smoking? Tell me if you can think of any", It also lets me feel less awkward in some situations,,,"["" Smelling of tobacco can be an issue when you're trying to quit."", 6, 100, 0.6, 1.0, 0]",
71,"I appreciate you confirming my understanding I see, you feel compelled to smoke What else do you find positive about smoking?", I feel that it sometimes breaks the ice for a conversation with another smoker,,,"[' Stress causes you to want to quit smoking.', 6, 100, 0.6, 1.0, 0]",
72,Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette?, today I am broke and still had to buy them. I borrowed money,,,"[' Smoking helps you avoid being judged by others.', 6, 100, 0.6, 1.0, 0]",
73,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, the next time I went there to visit I refrained ,,,"[' This may help explain why you have been smoking since childhood.', 6, 100, 0.6, 1.0, 0]",
74,Please desccribe a situation where you thought about wanting to be a good role model but ended up smoking, When my kids were younger I should have quyit but did not,,,"[' Smoking regularly without considering its consequences can lead to problems down the line.', 6, 100, 0.6, 1.0, 0]",
75,"I get it, you think Socializing is both good and bad Please describe a time where you were with other smokers and ended up smoking", When ever I am with other smokers it makes it feel ok to smoke,,,"[' You may want to consider taking some time out before going on holiday or travelling abroad.', 6, 100, 0.6, 1.0, 0]",
76,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was not so socialable with the smokers as much,,,"["" You weren't able to focus on what you wanted to accomplish."", 6, 100, 0.6, 1.0, 0]",
77,Please describe a time where you contemplated the consequences of smoking on your health and then did not smoke that time, I went hiking and wanted to be able to climb the mountain with my kids and so I did not smoke,,,"[' Smoking makes you feel better than having nothing in your hand.', 6, 100, 0.6, 1.0, 0]",
78,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, I was compelled to have a cigarrette before an interview but refrained,,,"[' Relaxing your mind helps you focus better.', 6, 100, 0.6, 1.0, 0]",
79,"Thank you for confirming my understanding Let me see if I understand, you don't like that smoking makes you smell badly I appreciate you making things simple for me, but please use more words in your sentences Can you think of more things that you dislike about smoking? If so, please tell me", I dislike the fact my children worry about me smoking,,,"[' You told her what you wanted to tell her.', 6, 100, 0.6, 1.0, 0]",
80,"I appreciate you confirming my knowledge Let me see if I get it, you think that cigarettes are expensive I would like to know more about your reasoning, is it possible to use more words in your sentences Do you have more negative things about smoking? Tell me if you can think of any", The cost of smoking is making life difficult financially,,,"["" You don't want people to judge you based on your smoking habits."", 6, 100, 0.6, 1.0, 0]",
81,"Okay, so you associate Cost as something negative about smoking Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette", I was behind in paying a bill but spent the money on cigarettes anyway,,,"[' Concentration helps you focus better while smoking.', 6, 100, 0.6, 1.0, 0]",
82,Please describe a situation where you thought about being a good role model and that cause you not to smoke, After my daughter complained about her clothes smelling of smoke,,,"[' Just being calm and focused helped you avoid smoking.', 6, 100, 0.6, 1.0, 0]",
83,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I realised it was affecting my dughter,,,"[' Stress decreases your desire to smoke.', 6, 100, 0.6, 1.0, 0]",
84,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, Because of the effect it was having on my daughter,,,"[' Skin aging slows down because of smoking.', 6, 100, 0.6, 1.0, 0]",
85,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was at work so unable to smoke,,,"[' Nothing really came to mind either.', 6, 100, 0.6, 1.0, 0]",
86,Thank you for clearing that up What else do you find positive about smoking?, It helps me focus and concentrate.,,,"[' Smoking causes people to feel like they are inferior. It also creates an environment where smokers have no choice but to smoke.', 6, 100, 0.6, 1.0, 0]",
87,Thank you for confirming my understanding I understand: smoking relieves you of stress Do you have more positive things about smoking? Tell me if you can think of any, Smoking gives me a pleasurable and happy feeling. ,,,"[' Smoking makes you happy.', 6, 100, 0.6, 1.0, 0]",
88,"I appreciate you confirming my knowledge I see, you feel compelled to smoke Do you have more positive things about smoking? Tell me if you can think of any", I like to smoke while I drink alcohol because it feel great,,,"[' Ratty means tired or weak.', 6, 100, 0.6, 1.0, 0]",
89,"Thank you for confirming my understanding OK, so smoking is pleasant and relaxing for you What else do you find positive about smoking?", I like to smoke if I am borred.,,,"[' Smoking has been associated with stress relief.', 6, 100, 0.6, 1.0, 0]",
90,"Sorry, I don't get what you're saying. Can you give more details I'm trying to learn what you say, I'll give you options if I can't figure it out", It  gives me a rush and makes me feel slightly high.,,,"['\xa0Smoking makes you look younger.', 6, 100, 0.6, 1.0, 0]",
91,"I appreciate you confirming my understanding OK, let me summarize what you said. You said ""I can concentrate more if I am smoking"", which I think is related to Nicotine dependence You also said ""I enjoy the kick"", ""Smoking gives me a pleasurable and happy feeling. "", ""I like to smoke while I drink alcohol because it feel great"", and ""I like to smoke if I am borred."", which I believe is essentially Feeling good You also said ""It  something to look forward to doing."", which I believe is essentially Routine You also said ""I like to socialise with other people who smoke."", which I believe is essentially Socializing You also said ""It relaxes me and gives me a sense of pleasure. "", ""It relaxes my mind and body."", and ""It  gives me a rush and makes me feel slightly high."", which I think is related to Stress OK. Let's now talk about the bad things about smoking What is it about smoking that makes it bad?", Im aware its very bad for your health.,,,"[' Nothing really came to my mind, but I am sure there are many people who would say they had similar experiences.', 6, 100, 0.6, 1.0, 0]",
92,So you think Nicotine dependence is good and bad at the same time Please describe a time where you had a compelling feeling to smoke and actually smoked, When I wake up in the morning.,,,"[' Being a role model can help you quit smoking.', 6, 100, 0.6, 1.0, 0]",
93,Please describe a time where you thought about the cost of smoking but continued to smoke a cigarette?, Every time I buy a pack of ciggs I think about the cost the craving  makes me continue to smoke.,,,"[' Distancing yourself from people who are sick makes them feel better.', 6, 100, 0.6, 1.0, 0]",
94,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I had more will power and also I was using nicotine replacement therapy as in chewing gum,,,"[' It took courage to stop smoking.', 6, 100, 0.6, 1.0, 0]",
95,Please describe a time where you smoked because you needed to feel good, I lost internet connection this evening for ten minutes so I smoked to cheer myself up.,,,"[' Smoking causes people to shun you.', 6, 100, 0.6, 1.0, 0]",
96,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, When my  ex colleague  was diagnosed with  stage three lung cancer.,,,"[' Smoking helps you cope with social stigmas.', 6, 100, 0.6, 1.0, 0]",
97,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was feelimg good about myself and I had more determination.,,,"[' Smelling like your buds helps you relax.', 6, 100, 0.6, 1.0, 0]",
98,Please desccribe a situation where you thought about wanting to be a good role model but ended up smoking, Nearly everyday when I'm around my children,,,"[' Smoking makes you miss your bus.', 6, 100, 0.6, 1.0, 0]",
99,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I felt like I didnt need to smoke brcause the nicotine gum was working,,,"[' Stress can cause you to stop smoking.', 6, 100, 0.6, 1.0, 0]",
100,Please describe a time where you were worried about the smell of cigarettes but ended up smoking, When I was having visitors around for dinner. ,,,"[' Smoking makes people notice smells more.', 6, 100, 0.6, 1.0, 0]",
101,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my children's friends come over to our home.,,,"[' Stress relieves anxiety.', 6, 100, 0.6, 1.0, 0]",
102,So you think Socializing is good and bad at the same time Please describe a time where you were with other smokers and ended up smoking, When somebody offered me a cigarette I felt obliged to smoke it even though I didn't want one,,,"[' Relaxing your mind and body is important because it helps you focus better.', 6, 100, 0.6, 1.0, 0]",
103,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was determined and more motivated to succed.,,,"[' Smoking helps focus.', 6, 100, 0.6, 1.0, 0]",
104,Please describe a time where you experienced stress and didn’t end up smoking," After over spending in the supermarket, I didn't smoke because I thought It would be counter productive",,,"[' The plane was very cold and I felt like I needed some warmth. So I took out my cigarette and lit it.', 6, 100, 0.6, 1.0, 0]",
